Gender,Married,Age,Graduat,Profession,Experience,SpendingScore,FamilySize
Male,No,25.0,No,,9.0,Low,3.0
Male,Yes,,,,,Low,4.0
Female,No,,Yes,,,Low,1.0
Female,Yes,50.0,,,,Low,
,No,47.0,,Artist,1.0,,1.0
Male,Yes,43.0,,Executive,0.0,,3.0
,Yes,36.0,,Executive,8.0,,4.0
Male,Yes,,,Lawyer,,Low,
,No,,Yes,Artist,,,2.0
,No,,No,,2.0,,7.0
Female,Yes,37.0,Yes,Artist,1.0,,
Male,Yes,,,Executive,0.0,,3.0
Male,Yes,,No,Executive,,High,4.0
Female,Yes,47.0,,,9.0,Average,4.0
Female,No,28.0,Yes,Healthcare,,,3.0
Male,Yes,39.0,,Entertainment,,Low,
,Yes,27.0,No,,,,2.0
,Yes,42.0,,Engineer,,Low,
Male,Yes,,Yes,Artist,0.0,,2.0
Female,Yes,,,Engineer,0.0,,2.0
,No,35.0,Yes,Entertainment,,,5.0
Male,Yes,39.0,Yes,Executive,9.0,High,5.0
Female,Yes,69.0,Yes,Lawyer,,High,2.0
Male,No,,No,,,,4.0
Male,Yes,46.0,Yes,Artist,,Low,1.0
,Yes,50.0,Yes,Engineer,,,2.0
Male,No,30.0,No,,5.0,Low,5.0
,No,41.0,No,Artist,,Low,2.0
Female,No,,Yes,Artist,3.0,Low,4.0
Female,No,,,Marketing,,Low,
Female,Yes,,Yes,Artist,,Low,
,Yes,39.0,Yes,,0.0,,2.0
Female,Yes,,Yes,Artist,0.0,Average,5.0
Female,No,32.0,Yes,Doctor,0.0,Low,3.0
Male,Yes,,No,Lawyer,1.0,Low,
Female,Yes,43.0,No,,0.0,Average,5.0
Male,No,,No,,8.0,Low,5.0
Female,Yes,28.0,No,Engineer,,,
Male,Yes,80.0,,Lawyer,1.0,,
Female,No,28.0,Yes,,,Low,4.0
,Yes,,Yes,Artist,6.0,,3.0
Male,Yes,67.0,No,Lawyer,0.0,High,9.0
,No,,,Engineer,0.0,,1.0
Female,Yes,,Yes,,0.0,,
Female,Yes,,Yes,Artist,2.0,,2.0
Female,No,27.0,Yes,,0.0,Low,4.0
Female,Yes,45.0,Yes,Marketing,,,4.0
Male,Yes,,,Executive,,Low,
,Yes,43.0,Yes,Artist,,Average,
Female,Yes,,Yes,,1.0,High,
,Yes,35.0,Yes,,3.0,Average,3.0
,No,49.0,Yes,Artist,1.0,Low,1.0
Female,No,25.0,Yes,Healthcare,1.0,Low,5.0
Male,Yes,37.0,No,Executive,,Average,5.0
Female,No,32.0,No,Healthcare,1.0,Low,
Male,Yes,60.0,Yes,,0.0,Average,2.0
Female,Yes,,Yes,,5.0,,3.0
Female,Yes,49.0,,,9.0,Average,
,No,32.0,Yes,Artist,,Low,5.0
Female,Yes,,Yes,,0.0,Low,3.0
,Yes,,No,,2.0,Average,2.0
Male,Yes,48.0,,Artist,3.0,Low,5.0
Male,Yes,82.0,,,0.0,High,2.0
,Yes,70.0,Yes,,,,2.0
,No,31.0,,Artist,5.0,Low,2.0
Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0
,Yes,50.0,,Artist,,Average,4.0
,No,23.0,No,Engineer,11.0,,
Female,No,20.0,No,,2.0,Low,6.0
Female,No,22.0,No,Healthcare,4.0,,
Female,No,31.0,Yes,,8.0,Low,
Female,Yes,,Yes,Artist,,Average,2.0
Male,Yes,52.0,No,Entertainment,,,
Female,No,29.0,Yes,Artist,,,1.0
Male,Yes,40.0,Yes,Artist,4.0,Average,4.0
Female,No,,,Artist,,Low,1.0
Male,Yes,38.0,Yes,Artist,,,2.0
Female,Yes,85.0,No,,,Low,
,No,21.0,No,,1.0,,3.0
Female,Yes,,No,Engineer,4.0,Average,
,Yes,40.0,Yes,Artist,0.0,Low,2.0
Male,Yes,53.0,Yes,Artist,1.0,Average,3.0
,Yes,,Yes,Artist,,,2.0
Male,Yes,,,,,Low,2.0
,Yes,48.0,Yes,Artist,,Average,4.0
,Yes,59.0,Yes,Artist,7.0,Low,2.0
Male,Yes,41.0,Yes,Executive,1.0,Average,3.0
,Yes,31.0,Yes,,,,
Female,Yes,,Yes,Artist,1.0,,
Male,Yes,,Yes,Executive,1.0,Low,2.0
Male,Yes,35.0,No,Artist,,Average,
Female,No,26.0,Yes,Healthcare,0.0,,
Female,Yes,,,,,Average,8.0
Female,Yes,39.0,Yes,,4.0,Low,2.0
,Yes,63.0,Yes,Entertainment,0.0,,2.0
Male,No,23.0,No,Healthcare,8.0,,3.0
Female,No,23.0,No,,,,3.0
Female,Yes,53.0,,Artist,,,1.0
Male,No,33.0,,Doctor,0.0,,2.0
,Yes,50.0,,,,Average,4.0
Female,Yes,,Yes,,0.0,Low,2.0
Male,No,37.0,Yes,,2.0,Low,
,No,20.0,No,Marketing,,,4.0
,Yes,,Yes,Doctor,1.0,Average,4.0
Male,No,,,Healthcare,0.0,Low,
,Yes,52.0,Yes,Doctor,0.0,Average,
Male,Yes,,,,,Average,2.0
,Yes,,No,Executive,,High,
Male,No,,,,0.0,,1.0
Female,No,35.0,,Artist,0.0,,3.0
Male,Yes,28.0,Yes,Engineer,0.0,,2.0
,No,,Yes,Artist,,,3.0
Male,No,20.0,No,,0.0,Low,5.0
,No,27.0,No,Homemaker,,Low,1.0
Female,No,56.0,No,,,,
Male,Yes,45.0,Yes,,,Average,4.0
Male,No,25.0,,,1.0,Low,4.0
Male,No,40.0,No,,1.0,Low,1.0
Female,Yes,25.0,Yes,Healthcare,,Low,2.0
Female,Yes,74.0,No,Lawyer,,High,2.0
Female,No,,No,Healthcare,,Low,4.0
Female,Yes,67.0,Yes,Lawyer,0.0,High,
Male,No,21.0,,Healthcare,0.0,,4.0
Female,No,,Yes,Artist,,Low,
,No,28.0,,Healthcare,,Low,4.0
Female,No,32.0,No,,1.0,Low,5.0
Female,No,33.0,Yes,,,Low,
Female,Yes,56.0,,,1.0,High,
,Yes,,Yes,Artist,1.0,Low,2.0
Male,Yes,57.0,,Executive,1.0,High,5.0
Female,Yes,59.0,Yes,Artist,,,3.0
Female,Yes,25.0,Yes,,1.0,,4.0
,Yes,59.0,Yes,,0.0,,6.0
Female,Yes,36.0,Yes,Artist,0.0,,4.0
Male,Yes,37.0,Yes,Entertainment,,Low,
Male,No,,No,Doctor,,Low,3.0
Male,Yes,,Yes,Artist,,Low,2.0
,Yes,41.0,Yes,,1.0,Low,2.0
,No,21.0,No,Engineer,0.0,,
Female,No,49.0,No,Engineer,,,
Male,No,38.0,Yes,,8.0,Low,
Male,Yes,47.0,No,Artist,,Average,
Male,Yes,,Yes,Lawyer,1.0,,3.0
,No,,No,Engineer,,Low,
Female,Yes,82.0,,,,Average,
,Yes,51.0,No,Executive,,Low,
Female,No,42.0,,Homemaker,,Low,
Male,No,38.0,,Artist,8.0,Low,3.0
Male,Yes,18.0,,Executive,0.0,,4.0
Male,Yes,50.0,Yes,,6.0,,3.0
Female,No,46.0,,Doctor,1.0,,
Female,Yes,72.0,No,,1.0,High,3.0
,No,33.0,No,Engineer,,Low,4.0
Female,No,,No,Homemaker,,Low,7.0
,Yes,,No,Entertainment,2.0,,2.0
Male,No,72.0,,,1.0,,1.0
Female,Yes,,,,0.0,Average,
Male,Yes,36.0,Yes,Entertainment,6.0,Low,
Male,Yes,,Yes,Artist,1.0,Low,2.0
,No,28.0,Yes,Entertainment,0.0,Low,4.0
,No,28.0,,Doctor,,,3.0
Male,Yes,43.0,Yes,,,,
,Yes,35.0,,Artist,1.0,Average,
Male,Yes,,,Lawyer,,High,2.0
Male,Yes,,Yes,,,High,
Female,No,40.0,,Artist,,Low,
,Yes,,,Engineer,9.0,Low,3.0
,No,22.0,No,Healthcare,,Low,3.0
Male,Yes,47.0,Yes,Executive,1.0,Average,4.0
Male,Yes,29.0,Yes,Marketing,,,2.0
Male,Yes,46.0,Yes,,1.0,Average,3.0
Male,No,32.0,,Artist,1.0,Low,2.0
Female,No,,,Healthcare,,Low,1.0
,Yes,,Yes,Artist,0.0,Low,1.0
,No,,Yes,Entertainment,1.0,Low,1.0
Male,No,26.0,,,1.0,Low,2.0
,No,28.0,,,0.0,,1.0
,Yes,53.0,Yes,Engineer,,Average,3.0
Female,No,,,Entertainment,,,1.0
Male,No,27.0,No,,1.0,Low,
Female,No,32.0,No,Artist,,Low,8.0
Male,No,26.0,No,Engineer,0.0,Low,
Female,No,,,Entertainment,0.0,Low,2.0
Male,Yes,39.0,,Executive,,,3.0
Female,Yes,43.0,,,1.0,Low,3.0
,Yes,,No,Doctor,1.0,Low,2.0
Male,Yes,,,Artist,3.0,High,3.0
Female,Yes,40.0,,Entertainment,7.0,Average,
Male,Yes,,Yes,Entertainment,,,3.0
Female,Yes,27.0,Yes,,,Low,
,No,,Yes,Healthcare,,Low,
Female,No,19.0,,,,Low,2.0
Female,Yes,,Yes,Lawyer,0.0,High,
Male,Yes,,Yes,,,High,2.0
Female,Yes,,Yes,,4.0,,2.0
Female,Yes,70.0,No,Doctor,,Average,2.0
,Yes,53.0,,Engineer,8.0,,
Female,Yes,,No,Engineer,,,4.0
,Yes,,No,Executive,3.0,Low,
Male,Yes,,No,,,Low,
,Yes,43.0,,,0.0,,4.0
Male,Yes,36.0,No,Doctor,6.0,Low,
,Yes,,Yes,Lawyer,,Low,2.0
Female,No,,No,,,,
,No,,,,5.0,Low,2.0
Female,No,22.0,No,Marketing,,Low,1.0
Male,No,19.0,No,,0.0,,
,Yes,70.0,Yes,,4.0,,
Male,Yes,89.0,Yes,Lawyer,,Low,
Male,No,,,Healthcare,,Low,4.0
,No,,Yes,Doctor,6.0,Low,1.0
,No,45.0,Yes,Artist,4.0,Low,1.0
Female,No,35.0,,Artist,,Low,
,Yes,,No,Engineer,7.0,,
Female,Yes,39.0,No,Engineer,4.0,,2.0
Female,No,32.0,Yes,Healthcare,,,
,Yes,,,Artist,2.0,,3.0
,Yes,,,,,Average,4.0
Female,No,32.0,No,Engineer,,Low,4.0
Male,No,,No,Healthcare,0.0,Low,5.0
,Yes,56.0,Yes,Artist,,Average,
,No,,,,10.0,Low,2.0
Female,No,30.0,,Healthcare,8.0,,3.0
,No,,,Healthcare,,,5.0
,No,27.0,,Healthcare,,Low,2.0
Female,No,38.0,,Doctor,,,1.0
Male,Yes,,,Artist,8.0,Average,2.0
,No,29.0,Yes,Artist,3.0,,
Male,Yes,,,Entertainment,1.0,,
,Yes,55.0,No,Artist,0.0,,1.0
Female,Yes,69.0,,,,,
,No,,,Healthcare,,,8.0
Female,Yes,,,,0.0,,3.0
Female,No,39.0,Yes,Healthcare,9.0,Low,1.0
Male,Yes,35.0,,Artist,9.0,Low,1.0
Male,Yes,,No,,,High,
Female,Yes,60.0,Yes,Artist,,,4.0
,Yes,35.0,Yes,,,Average,4.0
Female,No,53.0,,Engineer,,,1.0
Female,Yes,86.0,No,Lawyer,,,
Female,No,,No,Healthcare,1.0,Low,3.0
Female,No,26.0,No,Doctor,,Low,1.0
,No,36.0,Yes,Engineer,,Low,
,No,,No,,0.0,Low,
Male,No,,No,Marketing,,Low,
Female,Yes,,Yes,Lawyer,,,3.0
Male,No,43.0,Yes,,,Low,3.0
Female,No,42.0,,Artist,,Low,3.0
Male,No,43.0,,Entertainment,,,
Female,Yes,,Yes,,,High,3.0
Male,No,25.0,,,1.0,,2.0
Male,Yes,61.0,No,,1.0,,2.0
Female,Yes,,Yes,Healthcare,,Average,2.0
Male,No,,,Artist,1.0,Low,
Male,No,25.0,No,Executive,,Low,3.0
Female,No,,No,,9.0,,
Male,Yes,43.0,Yes,Entertainment,1.0,Average,5.0
,No,27.0,,Artist,,Low,1.0
Female,No,60.0,Yes,Entertainment,1.0,Low,2.0
Male,Yes,,Yes,,2.0,Low,1.0
Female,No,,No,Doctor,,Low,4.0
Male,No,,No,Doctor,,,
,No,36.0,,Artist,8.0,Low,
Male,No,,No,,1.0,Low,1.0
,Yes,56.0,,Artist,1.0,Average,2.0
Female,Yes,52.0,,,2.0,,2.0
Male,Yes,39.0,Yes,Entertainment,0.0,Low,1.0
Female,No,,No,Artist,,,1.0
Male,Yes,33.0,,,,Average,
Female,No,25.0,Yes,Artist,,Low,6.0
,Yes,27.0,Yes,Artist,,,
,Yes,35.0,Yes,,1.0,,3.0
,Yes,,Yes,Artist,,Average,2.0
Female,Yes,49.0,Yes,,,Average,
Female,Yes,46.0,No,,,Average,
Female,No,31.0,,,,,
,No,49.0,,Doctor,,Low,1.0
Female,No,,Yes,Artist,9.0,Low,
Male,Yes,,,,13.0,High,
Female,Yes,,Yes,Artist,,,
Female,Yes,70.0,Yes,,1.0,,4.0
Female,No,28.0,Yes,Artist,,Low,1.0
Female,Yes,89.0,No,Lawyer,3.0,High,1.0
Female,Yes,42.0,No,Homemaker,6.0,,4.0
,Yes,37.0,Yes,,6.0,Average,
Male,Yes,,No,Executive,1.0,,3.0
Female,Yes,,Yes,Artist,,High,
Female,No,,No,Engineer,1.0,Low,
Male,No,29.0,No,Healthcare,1.0,Low,
Female,Yes,48.0,,Doctor,,,2.0
,Yes,51.0,Yes,Doctor,1.0,,3.0
,Yes,40.0,,,1.0,High,5.0
Male,Yes,47.0,Yes,,,Average,6.0
Male,Yes,39.0,Yes,Executive,,,
,Yes,35.0,Yes,Executive,1.0,Average,
Female,No,19.0,,,2.0,Low,
Female,No,21.0,No,Healthcare,,,
Male,Yes,46.0,Yes,,0.0,Average,
,Yes,86.0,Yes,,0.0,,1.0
Male,Yes,66.0,Yes,Artist,0.0,,
,No,42.0,No,Marketing,1.0,,
,Yes,73.0,,,,High,2.0
,Yes,72.0,,Engineer,,,1.0
Male,Yes,53.0,Yes,,,Low,
Female,Yes,39.0,,Artist,8.0,Average,
,No,27.0,,Homemaker,9.0,Low,1.0
Male,Yes,63.0,No,Entertainment,1.0,,
Female,No,23.0,,,1.0,,3.0
,No,30.0,,,,Low,4.0
Female,Yes,39.0,Yes,Artist,,Average,
Male,Yes,26.0,Yes,Artist,1.0,Average,3.0
Female,Yes,50.0,,,,Low,3.0
Female,Yes,,Yes,Artist,1.0,Average,2.0
Female,No,,No,,,,1.0
Female,No,27.0,,Doctor,1.0,Low,3.0
Male,Yes,,,Entertainment,1.0,Low,
Female,Yes,,No,Engineer,1.0,Average,
,No,,,Healthcare,7.0,Low,
Male,No,18.0,,Executive,,Low,5.0
Male,No,47.0,,Artist,,Low,3.0
Female,No,32.0,Yes,,4.0,Low,
Female,Yes,,No,,5.0,Low,3.0
,Yes,,Yes,,,,4.0
Female,Yes,77.0,Yes,Lawyer,0.0,High,
Male,Yes,79.0,No,,0.0,,
Male,No,31.0,No,,,Low,
,Yes,42.0,,,,Low,3.0
,No,18.0,No,,0.0,,6.0
,Yes,50.0,Yes,Artist,1.0,,4.0
Male,Yes,,Yes,,0.0,,5.0
Female,Yes,72.0,,,1.0,Low,3.0
,Yes,47.0,Yes,Artist,,,3.0
,Yes,45.0,Yes,,9.0,Average,
Female,No,40.0,,,,Low,
Female,No,,,Engineer,4.0,Low,1.0
,No,,Yes,Artist,,Low,1.0
,No,,No,Healthcare,4.0,,
Female,No,29.0,Yes,Healthcare,2.0,Low,4.0
,No,,Yes,Engineer,0.0,Low,5.0
Male,Yes,85.0,No,Lawyer,,Low,1.0
Female,Yes,40.0,Yes,,,,2.0
Female,Yes,52.0,Yes,Artist,,Average,2.0
Male,Yes,47.0,Yes,,0.0,,
Male,No,,No,Artist,6.0,Low,6.0
Female,No,55.0,Yes,Marketing,3.0,Low,1.0
Female,No,,No,Doctor,,Low,4.0
Female,Yes,87.0,Yes,,0.0,,2.0
Male,No,28.0,No,Healthcare,,Low,2.0
Male,No,,No,Artist,2.0,,2.0
Male,Yes,42.0,No,Entertainment,1.0,Low,2.0
Male,Yes,42.0,No,,,,6.0
Female,No,29.0,No,Engineer,1.0,,4.0
Male,No,,Yes,Doctor,0.0,Low,4.0
Male,Yes,38.0,No,Executive,,,5.0
Female,Yes,59.0,No,Artist,1.0,,
,No,22.0,No,,0.0,Low,
Female,No,26.0,No,,,Low,
Female,Yes,,,Artist,1.0,High,2.0
Female,No,32.0,,,0.0,Low,3.0
Male,Yes,37.0,Yes,,,,4.0
Male,Yes,,Yes,,,High,4.0
,No,,,Lawyer,,Low,
Male,Yes,47.0,No,Artist,0.0,High,4.0
Female,Yes,68.0,Yes,,0.0,High,
Male,No,,Yes,,3.0,,5.0
,Yes,48.0,Yes,Entertainment,,,
,No,43.0,,Artist,6.0,Low,
,Yes,33.0,Yes,,,Low,2.0
Male,Yes,,,Healthcare,0.0,Average,
Male,Yes,32.0,Yes,Healthcare,1.0,,
Female,No,21.0,,Healthcare,1.0,,4.0
Female,No,29.0,,Homemaker,,Low,4.0
,Yes,,,Artist,,Low,
,Yes,,No,Artist,,Low,
Female,Yes,38.0,,Artist,9.0,,2.0
Female,No,32.0,,Healthcare,,Low,3.0
,No,28.0,Yes,Artist,,,7.0
,Yes,,,Lawyer,3.0,,
Female,Yes,45.0,,,4.0,,1.0
Male,Yes,,,,,,
,No,,No,,1.0,Low,
,No,32.0,,Healthcare,12.0,,3.0
Male,No,,Yes,,1.0,Low,1.0
Female,Yes,42.0,No,,3.0,Average,4.0
Male,No,22.0,No,,,Low,6.0
,No,,Yes,,,,3.0
Female,No,18.0,No,,6.0,,4.0
Female,Yes,,Yes,Healthcare,,Low,3.0
Female,No,,Yes,Healthcare,0.0,,3.0
,No,47.0,No,Artist,1.0,Low,
Female,Yes,57.0,Yes,,1.0,Low,2.0
Male,Yes,,,,1.0,Low,
Male,Yes,57.0,,Executive,1.0,High,
Male,No,,No,Healthcare,1.0,Low,2.0
Male,Yes,52.0,,Artist,1.0,,6.0
Male,No,51.0,,,,,4.0
,Yes,37.0,,Entertainment,0.0,,
,No,36.0,,Marketing,0.0,,1.0
,No,29.0,Yes,,9.0,Low,
Male,Yes,,Yes,,,Average,4.0
,No,61.0,,Artist,,,1.0
,Yes,,,Entertainment,1.0,Average,
Female,Yes,,Yes,,14.0,,
,Yes,40.0,,,,Average,
Female,No,,No,Healthcare,,,5.0
Male,Yes,,,,,Low,
Male,Yes,,Yes,Engineer,,Average,
Female,No,42.0,Yes,Healthcare,8.0,Low,1.0
Male,No,,Yes,Doctor,1.0,,4.0
Female,No,33.0,Yes,,8.0,,
Male,No,27.0,Yes,Healthcare,,,3.0
,No,21.0,,,0.0,Low,4.0
Male,Yes,35.0,No,,9.0,,3.0
Female,No,42.0,Yes,Doctor,,,1.0
Female,No,41.0,,,,Low,1.0
,No,39.0,Yes,Artist,0.0,,3.0
,No,,No,,,Low,1.0
Female,Yes,,Yes,Engineer,,Average,
Female,Yes,,Yes,Doctor,1.0,Average,
Male,Yes,62.0,,Artist,0.0,,
,Yes,,,,1.0,Average,2.0
,Yes,,Yes,Doctor,,Average,2.0
,Yes,26.0,,,9.0,Low,
Female,No,25.0,Yes,Artist,4.0,,5.0
Female,Yes,45.0,Yes,Artist,1.0,,4.0
Male,Yes,43.0,,,0.0,,4.0
Male,Yes,,Yes,,1.0,High,
Male,Yes,55.0,Yes,,1.0,Average,
Female,No,37.0,Yes,Artist,,Low,1.0
Male,Yes,,Yes,Entertainment,,High,
Female,No,32.0,,,10.0,,5.0
,No,,No,,0.0,Low,
Female,Yes,40.0,,,2.0,Average,
,Yes,,,Entertainment,,Average,
Female,No,38.0,,Homemaker,5.0,,1.0
Male,No,26.0,,Marketing,0.0,Low,5.0
Male,No,30.0,Yes,,,Low,3.0
Male,Yes,51.0,Yes,Homemaker,,,
Male,No,57.0,Yes,Marketing,1.0,Low,4.0
,No,,,Healthcare,,,
,No,39.0,Yes,Artist,0.0,Low,1.0
Female,No,30.0,No,Engineer,,Low,4.0
Female,Yes,43.0,No,Artist,,Average,
Male,No,,Yes,,,Low,1.0
,Yes,46.0,,Artist,0.0,Average,4.0
,Yes,,,Artist,1.0,,
Male,Yes,,,Lawyer,,,
Male,Yes,,No,Entertainment,8.0,,4.0
Male,No,,Yes,Entertainment,9.0,Low,1.0
,No,,No,Healthcare,,Low,5.0
Female,No,28.0,Yes,Healthcare,1.0,Low,3.0
Male,No,33.0,No,Artist,,,
,No,,No,,0.0,Low,
Male,No,58.0,,Healthcare,4.0,,2.0
Female,No,38.0,Yes,Engineer,8.0,Low,
Female,No,31.0,Yes,Artist,,,
Male,Yes,32.0,No,,4.0,Average,
Male,Yes,,Yes,Artist,4.0,Average,4.0
,Yes,66.0,,Artist,,Low,3.0
Female,Yes,51.0,Yes,Artist,1.0,Average,3.0
Female,Yes,,Yes,Artist,,,2.0
Female,No,,Yes,,,Low,1.0
Male,Yes,46.0,,Artist,11.0,Average,
Male,No,20.0,,Healthcare,,Low,6.0
Female,Yes,84.0,,,1.0,High,2.0
Female,No,,,,,,1.0
Male,Yes,51.0,No,,,Average,
Male,Yes,,Yes,,8.0,Average,5.0
,No,33.0,,Doctor,0.0,,
Male,No,25.0,,,,,3.0
Male,Yes,55.0,,Artist,,Average,3.0
Female,Yes,56.0,,Executive,,High,
Male,Yes,77.0,Yes,Lawyer,1.0,,1.0
Male,Yes,30.0,Yes,,1.0,Low,2.0
Male,No,23.0,No,Healthcare,,,5.0
Female,No,,,Artist,2.0,Low,4.0
,No,,Yes,,,Low,1.0
Male,Yes,29.0,No,,1.0,,
,Yes,,,Doctor,,Low,2.0
,Yes,45.0,No,Engineer,,Low,
Male,Yes,48.0,,Executive,,High,2.0
Male,Yes,27.0,No,,0.0,,4.0
,Yes,60.0,No,,9.0,,4.0
,Yes,45.0,Yes,Entertainment,4.0,Average,3.0
Male,No,31.0,Yes,Healthcare,,,1.0
,No,33.0,No,Doctor,,,4.0
Female,Yes,48.0,Yes,Artist,,,
Female,Yes,,No,Lawyer,,Low,2.0
Male,Yes,57.0,,Executive,,,
Male,No,,,Healthcare,,Low,
Male,Yes,51.0,Yes,,,Low,
Male,Yes,,,,2.0,High,1.0
,Yes,,Yes,Artist,,,2.0
,No,40.0,,Doctor,,Low,1.0
,Yes,,Yes,Artist,5.0,Average,2.0
,Yes,,Yes,Artist,0.0,,
Female,Yes,69.0,,Lawyer,0.0,,2.0
,No,21.0,,Healthcare,9.0,Low,5.0
,Yes,,,Engineer,1.0,High,
Female,No,18.0,No,,,Low,3.0
,Yes,72.0,,,0.0,Low,3.0
Male,Yes,85.0,No,,,Low,1.0
Female,No,21.0,,Marketing,1.0,Low,5.0
Female,Yes,48.0,Yes,Artist,1.0,Low,1.0
Female,No,37.0,Yes,Entertainment,6.0,,
Male,No,,,Healthcare,1.0,Low,5.0
Male,Yes,55.0,Yes,Entertainment,,Low,2.0
Female,No,,Yes,Artist,0.0,,
Male,Yes,,,Doctor,1.0,Low,2.0
Male,No,,No,,1.0,Low,
Male,No,18.0,No,Healthcare,0.0,,
Male,Yes,,,Lawyer,,High,2.0
,Yes,,Yes,Artist,13.0,Low,1.0
Male,Yes,75.0,,Lawyer,,,
