x-ege,y2bar,y-ege,xy2br,letter
3.0,8,6.0,11.0,K
2.0,5,3.0,7.0,O
6.0,4,7.0,8.0,R
5.0,7,7.0,5.0,D
3.0,6,3.0,11.0,H
0.0,8,2.0,8.0,J
0.0,6,0.0,7.0,L
0.0,5,0.0,9.0,T
3.0,6,8.0,8.0,Q
4.0,9,4.0,8.0,X
3.0,7,3.0,6.0,D
1.0,6,2.0,4.0,T
9.0,2,0.0,8.0,M
2.0,5,3.0,6.0,F
2.0,5,3.0,8.0,O
2.0,8,4.0,9.0,E
2.0,3,3.0,9.0,Q
0.0,8,2.0,6.0,I
2.0,8,5.0,7.0,X
3.0,4,1.0,8.0,V
3.0,6,9.0,8.0,Q
3.0,10,6.0,9.0,E
0.0,4,0.0,8.0,T
6.0,2,0.0,8.0,N
2.0,2,4.0,8.0,R
2.0,7,3.0,6.0,D
2.0,3,3.0,9.0,A
0.0,7,2.0,10.0,L
3.0,7,4.0,6.0,X
3.0,6,5.0,10.0,Q
2.0,7,3.0,5.0,D
0.0,7,2.0,8.0,I
4.0,7,5.0,9.0,K
2.0,6,3.0,13.0,C
7.0,1,0.0,8.0,W
2.0,5,3.0,7.0,O
8.0,1,5.0,8.0,O
1.0,4,0.0,11.0,J
0.0,10,6.0,8.0,Z
5.0,7,6.0,9.0,E
5.0,6,5.0,7.0,J
6.0,0,0.0,8.0,M
5.0,4,2.0,10.0,N
6.0,5,1.0,8.0,N
7.0,5,3.0,5.0,N
4.0,5,4.0,4.0,P
1.0,6,4.0,7.0,I
2.0,2,2.0,8.0,A
1.0,5,6.0,6.0,Z
5.0,4,5.0,4.0,P
3.0,4,6.0,9.0,R
5.0,5,1.0,4.0,N
2.0,6,6.0,5.0,I
1.0,4,0.0,12.0,J
4.0,1,0.0,8.0,N
4.0,5,6.0,6.0,B
9.0,2,9.0,7.0,G
9.0,5,6.0,7.0,U
9.0,2,0.0,8.0,W
4.0,6,2.0,9.0,N
3.0,6,3.0,8.0,H
2.0,4,3.0,8.0,X
1.0,9,7.0,9.0,Z
2.0,8,4.0,5.0,Y
4.0,1,0.0,8.0,N
1.0,4,2.0,3.0,F
3.0,8,5.0,9.0,E
1.0,7,4.0,13.0,C
3.0,4,3.0,6.0,A
5.0,1,2.0,8.0,V
3.0,8,6.0,11.0,K
1.0,8,2.0,10.0,Y
3.0,5,2.0,6.0,D
3.0,3,5.0,9.0,R
3.0,8,5.0,6.0,R
3.0,6,3.0,8.0,H
6.0,8,4.0,10.0,U
4.0,5,5.0,6.0,F
2.0,5,1.0,4.0,T
3.0,8,3.0,9.0,X
2.0,7,5.0,9.0,E
1.0,3,3.0,3.0,P
3.0,8,4.0,5.0,D
6.0,4,2.0,6.0,M
1.0,7,3.0,7.0,Y
1.0,7,2.0,9.0,Y
10.0,2,2.0,8.0,M
2.0,6,6.0,11.0,L
2.0,8,3.0,9.0,X
0.0,8,3.0,10.0,L
2.0,7,4.0,14.0,C
4.0,4,8.0,6.0,G
2.0,8,3.0,8.0,X
2.0,8,3.0,7.0,X
4.0,8,4.0,5.0,T
4.0,4,7.0,9.0,Q
6.0,5,4.0,11.0,C
3.0,3,6.0,8.0,R
2.0,6,6.0,13.0,L
3.0,7,4.0,11.0,K
3.0,5,7.0,8.0,L
3.0,5,7.0,11.0,C
7.0,2,7.0,6.0,P
4.0,3,0.0,8.0,N
2.0,5,9.0,7.0,S
3.0,5,6.0,8.0,Q
3.0,3,3.0,12.0,K
3.0,4,7.0,5.0,J
3.0,8,2.0,9.0,Y
4.0,5,4.0,6.0,Y
2.0,6,9.0,7.0,S
2.0,6,5.0,7.0,S
0.0,11,6.0,8.0,Z
3.0,7,2.0,9.0,U
3.0,6,4.0,8.0,R
5.0,5,2.0,6.0,N
0.0,6,0.0,9.0,J
4.0,7,5.0,6.0,D
0.0,6,3.0,4.0,P
3.0,7,3.0,8.0,H
3.0,2,7.0,6.0,H
0.0,7,2.0,9.0,L
7.0,1,0.0,8.0,W
1.0,10,4.0,12.0,C
2.0,7,3.0,5.0,D
2.0,8,3.0,4.0,T
6.0,6,3.0,8.0,H
3.0,7,4.0,8.0,E
1.0,9,7.0,10.0,Z
5.0,4,7.0,9.0,G
3.0,5,9.0,8.0,C
2.0,5,5.0,9.0,G
3.0,6,5.0,8.0,S
7.0,4,8.0,8.0,B
0.0,5,0.0,4.0,L
2.0,4,8.0,8.0,A
0.0,12,8.0,8.0,Z
2.0,8,3.0,8.0,C
1.0,7,5.0,8.0,S
0.0,2,2.0,6.0,F
2.0,6,3.0,6.0,Q
6.0,2,6.0,8.0,G
5.0,0,0.0,8.0,W
3.0,7,2.0,8.0,U
3.0,5,8.0,8.0,A
3.0,6,9.0,7.0,Q
2.0,6,5.0,9.0,G
1.0,7,4.0,13.0,C
5.0,6,8.0,9.0,F
3.0,6,4.0,7.0,R
2.0,8,6.0,8.0,E
6.0,5,6.0,9.0,R
0.0,6,0.0,7.0,L
0.0,7,3.0,8.0,I
4.0,4,9.0,9.0,S
9.0,2,0.0,8.0,M
3.0,5,3.0,8.0,Q
3.0,6,5.0,7.0,R
2.0,6,1.0,5.0,T
3.0,8,6.0,13.0,L
4.0,4,4.0,10.0,O
2.0,6,3.0,6.0,R
4.0,5,7.0,11.0,C
3.0,2,0.0,8.0,V
11.0,5,8.0,8.0,W
6.0,2,0.0,8.0,N
7.0,1,2.0,8.0,M
5.0,2,1.0,8.0,W
5.0,0,0.0,8.0,M
2.0,2,5.0,9.0,Q
3.0,3,10.0,7.0,S
4.0,7,4.0,7.0,X
5.0,4,3.0,5.0,V
5.0,5,7.0,10.0,U
3.0,4,4.0,8.0,X
3.0,2,3.0,11.0,K
5.0,7,5.0,8.0,T
8.0,2,4.0,6.0,W
4.0,7,5.0,10.0,K
2.0,5,4.0,3.0,P
4.0,3,3.0,12.0,K
3.0,7,5.0,11.0,K
3.0,7,3.0,9.0,H
2.0,7,3.0,12.0,C
0.0,6,1.0,9.0,J
1.0,9,4.0,13.0,C
7.0,2,1.0,8.0,W
2.0,5,7.0,7.0,B
1.0,10,6.0,8.0,Z
6.0,4,2.0,8.0,M
3.0,1,0.0,8.0,H
4.0,6,10.0,7.0,J
4.0,4,5.0,5.0,Y
0.0,6,1.0,8.0,J
3.0,5,9.0,9.0,I
0.0,5,0.0,8.0,T
2.0,6,1.0,8.0,T
3.0,8,4.0,9.0,X
2.0,5,5.0,7.0,R
2.0,6,3.0,6.0,D
1.0,7,1.0,8.0,T
3.0,5,3.0,7.0,H
2.0,6,2.0,10.0,K
2.0,6,1.0,7.0,T
3.0,4,1.0,8.0,V
3.0,3,3.0,10.0,S
0.0,7,2.0,8.0,I
7.0,2,1.0,9.0,M
2.0,10,8.0,9.0,Z
3.0,4,6.0,8.0,Q
1.0,4,2.0,5.0,F
4.0,6,4.0,5.0,P
2.0,5,4.0,7.0,R
5.0,5,4.0,6.0,N
1.0,5,0.0,11.0,J
0.0,7,3.0,9.0,I
4.0,7,5.0,5.0,P
3.0,10,4.0,6.0,D
0.0,10,7.0,14.0,E
2.0,0,1.0,8.0,A
3.0,8,4.0,7.0,X
7.0,5,9.0,11.0,C
5.0,3,1.0,8.0,W
3.0,6,0.0,8.0,U
3.0,3,3.0,11.0,K
6.0,3,7.0,8.0,G
6.0,2,0.0,8.0,N
1.0,9,4.0,14.0,C
3.0,5,4.0,9.0,U
3.0,5,4.0,10.0,U
1.0,5,2.0,4.0,P
1.0,6,2.0,6.0,Y
3.0,7,0.0,9.0,U
3.0,5,4.0,9.0,U
3.0,3,8.0,6.0,Z
2.0,6,2.0,6.0,D
4.0,8,4.0,7.0,X
2.0,7,4.0,14.0,C
2.0,7,6.0,8.0,G
0.0,8,2.0,5.0,T
4.0,3,8.0,11.0,C
3.0,4,5.0,12.0,L
3.0,7,3.0,10.0,K
3.0,5,8.0,10.0,J
3.0,4,10.0,7.0,Z
4.0,2,5.0,12.0,A
2.0,4,1.0,8.0,V
2.0,7,5.0,9.0,E
2.0,6,2.0,9.0,Y
3.0,9,4.0,6.0,D
0.0,10,1.0,7.0,L
1.0,6,6.0,9.0,G
2.0,8,6.0,10.0,Z
1.0,7,2.0,5.0,T
1.0,1,3.0,4.0,P
3.0,5,4.0,8.0,R
3.0,8,4.0,7.0,O
2.0,7,3.0,9.0,C
0.0,9,3.0,10.0,L
0.0,4,0.0,8.0,I
2.0,6,3.0,6.0,D
2.0,8,3.0,7.0,X
6.0,6,3.0,8.0,K
2.0,6,4.0,9.0,G
1.0,8,10.0,6.0,S
0.0,8,0.0,8.0,J
0.0,4,2.0,7.0,F
2.0,6,3.0,6.0,F
0.0,5,0.0,8.0,J
2.0,10,7.0,5.0,Z
3.0,7,2.0,9.0,U
2.0,3,1.0,8.0,V
3.0,9,6.0,8.0,Z
1.0,4,5.0,7.0,B
3.0,5,3.0,7.0,O
3.0,7,3.0,5.0,H
2.0,6,5.0,7.0,S
4.0,7,4.0,8.0,K
2.0,2,2.0,8.0,Q
3.0,6,0.0,8.0,U
4.0,6,5.0,8.0,R
3.0,5,3.0,6.0,D
2.0,5,5.0,6.0,B
2.0,3,3.0,8.0,Q
1.0,7,1.0,8.0,T
6.0,7,3.0,6.0,D
3.0,8,5.0,7.0,K
2.0,5,4.0,6.0,R
2.0,2,2.0,8.0,A
4.0,3,3.0,6.0,Y
3.0,7,4.0,8.0,O
5.0,5,7.0,8.0,R
2.0,11,5.0,8.0,E
0.0,3,0.0,10.0,J
5.0,2,5.0,11.0,A
6.0,5,7.0,8.0,V
7.0,3,1.0,9.0,W
2.0,6,1.0,8.0,T
2.0,5,7.0,10.0,X
5.0,6,5.0,8.0,D
1.0,8,4.0,14.0,C
4.0,5,3.0,9.0,N
0.0,4,2.0,7.0,F
3.0,7,5.0,9.0,E
2.0,5,7.0,8.0,J
4.0,7,4.0,11.0,K
3.0,3,3.0,9.0,A
1.0,8,7.0,9.0,E
3.0,4,3.0,5.0,P
2.0,8,4.0,13.0,C
4.0,3,9.0,7.0,G
6.0,8,5.0,10.0,K
4.0,4,7.0,9.0,E
1.0,6,3.0,12.0,C
6.0,3,2.0,8.0,W
0.0,7,1.0,9.0,I
3.0,6,3.0,9.0,K
2.0,4,4.0,8.0,X
2.0,5,6.0,13.0,L
1.0,7,2.0,8.0,Y
4.0,2,7.0,10.0,G
7.0,2,1.0,8.0,W
2.0,7,9.0,7.0,S
1.0,2,0.0,8.0,Y
3.0,4,6.0,5.0,B
0.0,5,3.0,5.0,P
0.0,15,8.0,8.0,Z
2.0,5,3.0,7.0,O
1.0,7,2.0,8.0,Y
3.0,8,4.0,8.0,O
3.0,2,2.0,9.0,A
0.0,6,0.0,7.0,T
1.0,9,6.0,9.0,Z
1.0,8,3.0,10.0,L
3.0,5,3.0,8.0,O
0.0,7,4.0,9.0,I
5.0,2,0.0,8.0,N
3.0,7,1.0,9.0,U
8.0,4,4.0,10.0,A
1.0,5,3.0,14.0,C
2.0,7,4.0,9.0,E
6.0,4,6.0,5.0,J
4.0,3,7.0,11.0,C
0.0,4,0.0,8.0,I
4.0,7,4.0,12.0,K
2.0,5,2.0,4.0,F
4.0,3,7.0,9.0,G
2.0,5,6.0,6.0,B
3.0,2,2.0,11.0,K
7.0,4,6.0,7.0,N
4.0,3,7.0,11.0,G
4.0,6,4.0,5.0,T
5.0,3,5.0,9.0,O
4.0,6,4.0,9.0,K
0.0,6,0.0,5.0,L
0.0,7,2.0,8.0,I
1.0,2,4.0,4.0,P
1.0,6,2.0,4.0,F
5.0,5,3.0,8.0,U
4.0,9,8.0,9.0,Z
3.0,7,5.0,12.0,K
2.0,9,6.0,8.0,X
9.0,5,3.0,8.0,M
3.0,7,3.0,8.0,X
5.0,3,7.0,7.0,Y
4.0,7,8.0,9.0,T
0.0,10,9.0,7.0,S
5.0,5,5.0,11.0,O
7.0,2,1.0,8.0,W
2.0,5,6.0,6.0,B
3.0,4,3.0,8.0,O
2.0,2,3.0,8.0,A
4.0,0,5.0,5.0,P
3.0,7,3.0,5.0,D
3.0,2,3.0,12.0,A
3.0,5,0.0,8.0,U
0.0,6,0.0,6.0,L
9.0,2,0.0,8.0,W
4.0,4,3.0,4.0,P
3.0,4,3.0,8.0,O
11.0,1,3.0,8.0,M
5.0,4,4.0,5.0,P
5.0,4,5.0,9.0,O
0.0,9,9.0,6.0,S
3.0,6,7.0,6.0,B
3.0,6,3.0,9.0,H
0.0,6,0.0,7.0,J
11.0,3,3.0,7.0,M
3.0,8,4.0,7.0,X
4.0,4,7.0,10.0,C
2.0,6,4.0,10.0,G
3.0,3,6.0,8.0,R
2.0,3,1.0,7.0,V
7.0,2,2.0,7.0,W
3.0,6,6.0,5.0,Y
0.0,6,0.0,8.0,T
1.0,9,6.0,10.0,G
4.0,7,5.0,6.0,D
2.0,5,3.0,8.0,O
3.0,9,6.0,8.0,E
1.0,3,0.0,8.0,Y
0.0,7,1.0,8.0,I
6.0,6,2.0,4.0,N
3.0,8,3.0,6.0,D
2.0,8,5.0,7.0,S
3.0,6,7.0,6.0,B
2.0,9,4.0,8.0,S
2.0,7,5.0,9.0,E
5.0,5,5.0,6.0,R
3.0,7,3.0,11.0,K
3.0,8,1.0,10.0,U
0.0,8,8.0,8.0,S
10.0,5,4.0,11.0,M
7.0,1,0.0,8.0,W
2.0,6,3.0,6.0,D
7.0,2,1.0,8.0,W
2.0,9,7.0,8.0,Z
3.0,5,4.0,8.0,P
0.0,3,0.0,10.0,J
6.0,6,5.0,6.0,R
0.0,6,0.0,5.0,L
3.0,8,6.0,10.0,E
2.0,6,2.0,6.0,D
2.0,5,4.0,7.0,B
8.0,1,1.0,8.0,M
3.0,5,8.0,7.0,X
0.0,6,0.0,7.0,L
3.0,5,10.0,8.0,Z
0.0,8,1.0,8.0,L
2.0,5,4.0,9.0,G
3.0,7,4.0,5.0,D
1.0,10,3.0,3.0,T
7.0,4,2.0,10.0,N
7.0,2,4.0,8.0,V
2.0,4,1.0,8.0,V
2.0,4,3.0,9.0,Q
0.0,11,7.0,15.0,E
2.0,7,1.0,7.0,T
2.0,4,0.0,8.0,U
2.0,5,3.0,6.0,R
3.0,5,6.0,8.0,Q
1.0,8,4.0,13.0,C
1.0,9,4.0,11.0,C
3.0,4,3.0,10.0,O
1.0,4,0.0,13.0,J
0.0,9,3.0,10.0,L
2.0,2,2.0,9.0,A
4.0,8,1.0,7.0,L
1.0,5,2.0,5.0,F
0.0,4,2.0,7.0,F
5.0,2,0.0,8.0,N
3.0,4,6.0,9.0,R
3.0,4,3.0,10.0,O
2.0,5,3.0,8.0,O
2.0,6,3.0,5.0,F
2.0,5,4.0,5.0,J
3.0,5,6.0,5.0,I
1.0,8,7.0,9.0,Z
1.0,7,1.0,8.0,T
6.0,5,2.0,7.0,N
8.0,1,0.0,8.0,M
7.0,4,9.0,8.0,B
0.0,3,0.0,11.0,J
3.0,3,4.0,8.0,A
2.0,8,5.0,8.0,X
6.0,2,0.0,8.0,N
3.0,6,4.0,8.0,O
2.0,6,4.0,14.0,C
2.0,6,1.0,8.0,T
0.0,4,0.0,8.0,T
3.0,8,3.0,8.0,X
2.0,5,2.0,6.0,F
3.0,4,3.0,7.0,O
1.0,7,1.0,8.0,T
2.0,7,5.0,7.0,S
4.0,5,8.0,10.0,E
2.0,7,5.0,8.0,G
3.0,6,5.0,7.0,Q
1.0,5,6.0,7.0,B
0.0,6,7.0,7.0,S
2.0,3,7.0,5.0,J
2.0,5,4.0,10.0,G
4.0,7,4.0,10.0,K
5.0,1,3.0,8.0,V
2.0,5,4.0,10.0,G
5.0,5,3.0,7.0,K
2.0,6,8.0,7.0,B
2.0,7,1.0,8.0,T
4.0,9,7.0,9.0,Z
3.0,4,5.0,9.0,R
5.0,4,6.0,6.0,Y
2.0,8,5.0,9.0,E
0.0,3,0.0,8.0,I
3.0,8,6.0,11.0,E
2.0,6,8.0,6.0,S
5.0,4,0.0,8.0,N
3.0,3,8.0,10.0,C
2.0,2,0.0,9.0,V
11.0,5,4.0,7.0,M
0.0,5,0.0,6.0,L
3.0,7,3.0,10.0,K
0.0,7,8.0,9.0,Z
0.0,8,3.0,10.0,L
8.0,3,1.0,9.0,W
7.0,2,6.0,10.0,G
3.0,8,4.0,7.0,O
3.0,4,3.0,8.0,O
3.0,8,1.0,9.0,U
5.0,0,0.0,8.0,W
1.0,8,3.0,12.0,C
4.0,6,3.0,9.0,C
3.0,3,5.0,12.0,Q
2.0,6,2.0,4.0,T
1.0,2,4.0,4.0,P
2.0,7,4.0,7.0,S
7.0,4,9.0,5.0,N
5.0,2,1.0,7.0,W
8.0,1,0.0,8.0,M
3.0,9,6.0,6.0,T
2.0,6,2.0,5.0,D
3.0,8,4.0,10.0,Z
3.0,2,13.0,8.0,Z
3.0,4,4.0,8.0,X
0.0,4,0.0,10.0,J
2.0,5,4.0,10.0,G
8.0,1,0.0,8.0,W
3.0,7,3.0,11.0,K
2.0,5,4.0,10.0,G
2.0,2,4.0,8.0,R
6.0,3,5.0,11.0,G
6.0,5,2.0,7.0,N
7.0,4,9.0,10.0,E
1.0,8,3.0,11.0,C
2.0,7,6.0,13.0,L
2.0,6,9.0,8.0,S
3.0,5,8.0,8.0,X
3.0,10,4.0,6.0,D
7.0,2,2.0,7.0,W
4.0,5,7.0,6.0,B
8.0,1,0.0,8.0,W
2.0,8,4.0,9.0,E
6.0,2,0.0,8.0,N
4.0,3,6.0,9.0,G
2.0,3,3.0,9.0,A
0.0,12,8.0,8.0,Z
10.0,5,9.0,8.0,W
5.0,4,6.0,6.0,P
3.0,8,2.0,9.0,U
1.0,9,4.0,5.0,Y
1.0,11,4.0,14.0,C
3.0,5,3.0,8.0,O
2.0,5,4.0,10.0,G
2.0,6,4.0,8.0,L
3.0,7,5.0,10.0,K
6.0,3,1.0,8.0,M
3.0,7,2.0,9.0,U
3.0,1,0.0,8.0,H
0.0,5,0.0,8.0,T
7.0,2,6.0,9.0,G
8.0,2,0.0,8.0,M
3.0,4,5.0,6.0,J
3.0,5,0.0,8.0,U
4.0,6,5.0,7.0,B
1.0,4,3.0,4.0,P
3.0,1,0.0,8.0,H
2.0,3,4.0,8.0,R
6.0,5,2.0,10.0,N
8.0,0,6.0,6.0,P
8.0,5,7.0,8.0,B
2.0,5,4.0,6.0,R
2.0,6,4.0,10.0,G
1.0,6,1.0,9.0,J
4.0,6,4.0,6.0,D
3.0,7,5.0,11.0,K
2.0,4,2.0,5.0,F
1.0,8,1.0,8.0,T
2.0,5,5.0,12.0,L
4.0,5,6.0,7.0,B
1.0,5,1.0,4.0,F
1.0,6,1.0,10.0,J
0.0,14,8.0,8.0,Z
10.0,3,2.0,7.0,W
3.0,5,3.0,9.0,O
3.0,6,3.0,8.0,H
0.0,6,0.0,4.0,L
2.0,8,5.0,8.0,E
3.0,6,3.0,8.0,H
3.0,4,4.0,9.0,O
2.0,6,2.0,5.0,T
2.0,5,4.0,7.0,R
5.0,5,5.0,11.0,O
3.0,5,6.0,7.0,S
7.0,4,8.0,8.0,R
4.0,3,0.0,8.0,N
3.0,5,5.0,9.0,Q
0.0,4,0.0,10.0,J
2.0,2,3.0,7.0,A
9.0,4,2.0,9.0,M
2.0,7,4.0,9.0,E
4.0,10,7.0,8.0,X
1.0,4,5.0,6.0,I
2.0,6,3.0,5.0,D
7.0,4,5.0,8.0,U
2.0,3,3.0,3.0,P
4.0,5,7.0,6.0,D
2.0,9,6.0,7.0,X
2.0,5,5.0,6.0,B
7.0,3,1.0,9.0,W
3.0,6,3.0,7.0,D
3.0,8,7.0,9.0,T
6.0,5,6.0,9.0,B
2.0,6,1.0,8.0,T
5.0,5,7.0,7.0,D
1.0,7,3.0,8.0,L
1.0,6,6.0,6.0,Z
2.0,9,6.0,8.0,X
4.0,3,7.0,10.0,E
8.0,3,1.0,8.0,W
1.0,7,5.0,11.0,G
3.0,6,4.0,7.0,H
3.0,6,1.0,10.0,K
3.0,5,3.0,9.0,H
0.0,6,0.0,8.0,T
8.0,5,2.0,9.0,M
3.0,2,3.0,9.0,A
2.0,2,0.0,8.0,Y
3.0,7,5.0,8.0,T
2.0,3,3.0,9.0,Q
5.0,4,7.0,6.0,B
3.0,10,1.0,9.0,U
6.0,5,1.0,6.0,N
6.0,4,8.0,8.0,H
2.0,2,8.0,6.0,S
3.0,6,3.0,7.0,H
3.0,9,2.0,7.0,L
1.0,5,2.0,2.0,F
0.0,7,0.0,8.0,I
0.0,4,0.0,8.0,I
1.0,9,11.0,10.0,Z
2.0,4,4.0,6.0,R
2.0,4,5.0,7.0,J
2.0,2,5.0,10.0,Q
6.0,2,1.0,7.0,W
3.0,2,0.0,8.0,H
5.0,0,0.0,8.0,M
2.0,5,5.0,6.0,B
5.0,4,7.0,7.0,Y
0.0,10,3.0,11.0,L
7.0,4,2.0,6.0,M
3.0,8,2.0,9.0,U
4.0,5,3.0,8.0,U
0.0,3,4.0,1.0,P
3.0,4,4.0,8.0,X
2.0,5,4.0,9.0,G
2.0,7,5.0,6.0,F
4.0,3,7.0,9.0,E
1.0,6,2.0,4.0,F
1.0,10,4.0,12.0,C
6.0,2,4.0,8.0,W
3.0,5,7.0,6.0,H
6.0,5,8.0,10.0,L
0.0,4,4.0,4.0,P
2.0,6,3.0,4.0,D
2.0,7,9.0,7.0,B
0.0,9,9.0,8.0,S
3.0,5,9.0,7.0,J
1.0,9,6.0,8.0,Z
1.0,2,0.0,8.0,Y
0.0,4,2.0,7.0,F
2.0,6,3.0,5.0,F
6.0,7,4.0,7.0,K
11.0,5,6.0,7.0,U
2.0,5,2.0,5.0,F
3.0,4,6.0,10.0,Q
9.0,4,11.0,10.0,E
5.0,4,2.0,6.0,N
1.0,6,2.0,4.0,F
3.0,6,3.0,8.0,H
3.0,4,4.0,8.0,X
5.0,3,2.0,8.0,V
3.0,3,5.0,9.0,Q
3.0,5,7.0,8.0,E
2.0,9,4.0,9.0,E
6.0,2,2.0,6.0,W
2.0,3,3.0,9.0,Q
3.0,8,2.0,9.0,U
0.0,5,0.0,8.0,J
2.0,3,4.0,10.0,A
3.0,6,3.0,9.0,U
3.0,9,4.0,5.0,D
3.0,5,3.0,6.0,A
2.0,3,3.0,8.0,R
1.0,9,7.0,8.0,Z
0.0,10,9.0,6.0,S
5.0,7,4.0,9.0,K
3.0,8,4.0,9.0,X
6.0,0,0.0,8.0,W
2.0,4,2.0,8.0,O
0.0,6,0.0,9.0,T
3.0,3,5.0,11.0,Q
0.0,8,7.0,13.0,E
0.0,3,3.0,3.0,P
0.0,7,8.0,9.0,S
3.0,6,3.0,8.0,H
3.0,9,4.0,4.0,D
3.0,5,3.0,8.0,O
2.0,7,4.0,10.0,G
2.0,2,4.0,8.0,R
5.0,6,4.0,7.0,D
3.0,1,1.0,8.0,V
1.0,6,1.0,7.0,J
4.0,1,3.0,4.0,P
2.0,4,3.0,7.0,B
3.0,9,4.0,5.0,D
6.0,5,4.0,4.0,H
1.0,6,1.0,3.0,T
1.0,7,2.0,7.0,Y
5.0,4,6.0,6.0,A
3.0,5,8.0,8.0,E
1.0,7,2.0,5.0,T
3.0,8,4.0,8.0,X
6.0,5,8.0,8.0,V
3.0,6,3.0,9.0,U
3.0,1,0.0,8.0,H
8.0,2,0.0,8.0,W
0.0,5,0.0,8.0,T
2.0,4,3.0,8.0,O
2.0,5,4.0,10.0,G
1.0,7,2.0,5.0,T
3.0,7,3.0,6.0,D
2.0,6,3.0,5.0,D
2.0,0,1.0,8.0,A
3.0,5,7.0,6.0,X
3.0,6,3.0,8.0,H
0.0,6,1.0,10.0,J
2.0,5,4.0,10.0,G
3.0,6,4.0,6.0,O
3.0,1,2.0,11.0,K
1.0,10,6.0,8.0,Z
2.0,8,9.0,7.0,S
1.0,9,6.0,7.0,Z
0.0,7,3.0,9.0,I
0.0,8,1.0,7.0,L
2.0,8,4.0,9.0,E
0.0,13,8.0,8.0,Z
0.0,3,0.0,11.0,J
7.0,2,1.0,7.0,W
3.0,9,6.0,8.0,X
