f_47,f_25,f_4,f_11,oil
12317.76,351.67,1661.34,59.1,0
3776.92,351.67,1609.1,123.3,0
6875.4,351.67,1789.38,65.4,0
4342.15,351.67,1552.0,80.6,0
7624.18,351.67,1768.67,134.3,0
3640.37,351.67,1637.47,81.7,0
4082.96,351.67,1750.32,80.1,0
3397.16,351.67,1556.42,74.6,0
4201.45,351.67,1410.6,69.8,0
6804.88,351.67,956.9,90.1,0
4160.28,351.67,1283.61,75.1,0
5156.82,351.67,1325.85,101.5,0
3300.77,351.67,1600.22,126.3,0
6482.29,351.67,1256.43,113.6,0
5915.8,351.67,1283.44,157.7,0
4783.57,351.67,1192.35,89.3,0
4044.22,351.67,1464.15,65.0,0
6000.64,351.67,1092.18,69.7,0
3386.75,351.67,1584.93,94.0,0
10440.28,351.67,1409.53,91.8,0
5118.76,351.67,1399.87,97.2,0
3922.8,351.67,1409.81,135.5,0
3891.58,351.67,1597.48,141.0,0
11166.67,351.67,1378.53,120.7,0
3949.53,351.67,1483.52,90.8,0
5815.13,351.67,1297.05,83.3,0
5086.1,351.67,1378.75,99.7,0
3292.2,351.67,1622.01,83.5,0
15763.52,351.67,1747.61,84.7,0
3642.72,351.67,1301.25,75.7,0
9183.53,351.67,929.73,95.0,0
4378.82,351.67,1687.89,89.2,0
4611.06,351.67,1539.39,122.0,0
5319.08,351.67,1063.34,71.7,0
4227.13,351.67,1693.15,85.8,0
3456.88,351.67,1466.84,124.3,0
7584.28,351.67,1474.01,81.7,0
3392.59,351.67,1510.96,116.3,0
30931.68,351.67,1673.75,136.5,0
9776.06,351.67,1778.77,201.4,0
15720.91,351.67,1761.26,69.6,0
4736.75,351.67,1487.77,114.1,0
5658.15,351.67,1164.07,68.7,0
4265.09,351.67,1177.9,107.4,0
5019.76,351.67,1281.63,99.4,0
29233.01,351.67,1648.53,85.7,0
4880.79,351.67,1388.43,87.9,0
4731.78,351.67,1076.15,75.5,0
7710.8,351.67,941.15,101.9,0
4386.19,351.67,1728.44,97.7,0
8744.58,351.67,934.48,71.0,0
5621.94,351.67,1298.81,99.3,0
8586.62,351.67,933.6,67.1,0
3664.41,351.67,1557.52,109.4,0
3566.68,351.67,1291.23,100.7,0
7555.21,351.67,942.99,80.9,0
7679.36,351.67,1725.38,81.2,0
4374.05,351.67,1767.8,96.6,0
6355.37,351.67,1391.74,89.8,0
27511.01,351.67,1751.99,65.0,0
11823.49,351.67,1650.5,85.8,0
13241.25,351.67,1284.88,75.0,0
6370.38,351.67,1454.27,64.7,0
5055.28,351.67,1394.08,100.1,0
4184.46,351.67,1329.91,88.9,0
4222.89,351.67,1755.23,73.0,0
9521.93,351.67,888.45,108.6,0
5246.88,351.67,1311.5,92.0,0
5153.38,351.67,1671.8,151.4,0
3699.06,351.67,1255.31,110.4,0
6685.57,351.67,1022.69,113.6,0
3937.73,351.67,1703.37,63.5,0
27836.68,351.67,640.12,101.3,1
4571.84,351.67,1047.93,107.6,0
5150.19,351.67,1316.48,116.4,0
5155.95,351.67,1079.42,86.5,0
7420.55,351.67,1752.95,213.0,0
4456.55,351.67,1110.06,102.3,0
4148.59,351.67,1330.31,71.1,0
5080.12,351.67,1217.61,104.6,0
6122.58,351.67,978.29,127.4,0
6772.03,351.67,1469.83,71.4,0
4011.67,351.67,1626.35,96.9,0
3551.66,351.67,1266.13,90.4,0
4330.56,351.67,1094.99,99.9,0
4348.41,351.67,1706.37,70.8,0
3736.09,351.67,1255.73,104.0,0
3423.55,351.67,1498.74,63.1,0
13112.94,351.67,784.69,74.2,0
3884.16,351.67,1515.77,78.9,0
27403.81,351.67,1653.65,75.9,0
3472.88,351.67,1269.91,88.9,0
3352.35,351.67,1534.18,76.1,0
4583.27,351.67,1092.8,86.8,0
10247.84,351.67,1482.12,64.7,0
4584.48,351.67,1041.51,97.6,0
4043.78,351.67,1406.67,93.8,0
7050.17,351.67,1363.41,126.9,0
4818.78,351.67,1775.29,86.8,0
11235.17,351.67,1614.79,88.9,0
6160.31,351.67,1348.94,78.1,0
3430.89,351.67,1654.31,62.1,0
4830.04,351.67,1348.12,132.4,0
4759.79,351.67,1772.45,82.2,0
3804.86,351.67,1528.04,78.9,0
3529.18,351.67,1283.63,110.5,0
7159.62,351.67,1416.57,68.3,0
4117.75,351.67,1228.76,70.6,0
27288.37,351.67,1723.38,80.7,0
3561.8,351.67,1659.43,78.4,0
3437.2,351.67,1494.84,92.9,0
4181.97,351.67,1314.44,71.7,0
4209.55,351.67,1260.52,92.5,0
3800.45,351.67,1444.1,64.7,0
4503.33,351.67,1065.15,74.0,0
12290.67,351.67,1669.06,71.6,0
4006.73,351.67,1277.35,87.6,0
9488.2,351.67,904.77,85.7,0
4056.61,351.67,1232.37,85.1,0
4350.81,351.67,1522.92,107.5,0
5612.27,351.67,1433.37,69.6,0
3953.07,351.67,1730.6,82.9,0
3856.78,351.67,1664.88,70.6,0
6182.54,351.67,1251.85,73.9,0
3851.47,351.67,1726.21,75.1,0
15726.03,351.67,1739.37,72.0,0
3692.68,351.67,1309.52,102.4,0
4260.97,351.67,1113.0,84.1,0
5158.25,351.67,1095.38,82.6,0
5277.95,351.67,1191.93,78.5,0
27250.38,351.67,491.78,125.0,1
3671.85,351.67,1278.19,87.2,0
6055.87,351.67,1321.27,103.0,0
3980.58,351.67,1563.45,80.2,0
4560.84,351.67,1774.34,84.1,0
3298.6,351.67,1640.74,98.8,0
4537.02,351.67,1202.63,129.5,0
4218.47,351.67,1125.0,97.0,0
4023.15,351.67,1237.38,114.3,0
15749.24,421.21,358.51,255.4,1
12193.37,421.21,952.23,102.5,0
5676.17,421.21,590.08,233.4,0
5233.67,421.21,713.03,132.3,0
6046.68,421.21,699.4,443.7,0
8071.34,421.21,73.49,340.5,0
18827.22,421.21,1240.82,68.3,0
5621.68,421.21,875.62,124.3,0
6237.14,421.21,733.65,132.5,0
7016.73,421.21,636.15,201.6,0
8124.04,421.21,315.95,68.3,0
8545.83,421.21,1033.9,59.2,0
15742.59,421.21,287.42,152.4,1
5334.77,421.21,758.81,83.0,0
5679.31,421.21,581.31,137.4,0
9384.24,421.21,247.31,162.8,0
7573.28,421.21,327.69,90.9,0
5598.96,421.21,486.16,150.4,0
5765.63,421.21,618.22,92.4,0
6950.66,421.21,138.78,68.4,0
5480.47,421.21,705.94,152.5,0
8373.24,421.21,255.38,68.9,0
8102.67,421.21,915.96,64.6,0
12120.43,421.21,1138.51,102.9,0
6083.1,421.21,827.25,99.2,0
6946.12,421.21,432.69,57.7,0
5077.57,421.21,810.08,77.5,0
4920.93,421.21,942.19,94.9,0
5870.52,421.21,638.63,122.5,0
5737.44,421.21,964.88,78.6,0
5066.66,421.21,719.81,79.4,0
5861.72,421.21,445.77,99.3,0
6594.33,421.21,473.91,104.2,0
4677.99,421.21,916.51,91.4,0
5442.91,421.21,741.46,66.0,0
6636.45,421.21,585.46,83.6,0
9297.79,421.21,958.68,69.8,0
4892.53,421.21,786.83,105.1,0
7005.85,421.21,81.32,85.3,0
5903.61,421.21,820.74,71.3,0
5037.66,421.21,969.47,83.1,0
8103.42,421.21,38.27,115.8,0
7044.33,421.21,617.03,118.2,0
4783.72,421.21,777.3,110.5,0
7770.7,421.21,582.77,95.3,0
19889.29,421.21,199.68,130.7,0
6981.74,421.21,873.77,72.1,0
8070.76,421.21,939.02,87.5,0
5101.05,421.21,948.75,78.9,0
6636.3,421.21,791.35,131.0,0
8797.42,421.21,723.63,60.5,0
19959.22,421.21,258.49,78.8,0
6824.45,421.21,78.22,77.4,0
7160.2,421.21,45.04,106.9,0
6127.67,421.21,720.4,98.7,0
4667.21,421.21,833.29,114.4,0
6128.49,421.21,660.54,109.8,0
5558.79,421.21,519.26,103.0,0
9098.69,421.21,276.09,69.3,0
8123.46,421.21,23.63,115.7,0
5586.71,421.21,803.14,94.1,0
5105.63,421.21,871.49,73.1,0
6032.93,421.21,773.49,82.5,0
4880.84,421.21,819.86,70.8,0
5606.99,421.21,993.6,93.3,0
5888.34,421.21,556.93,103.5,0
7147.0,421.21,145.74,88.1,0
6125.13,421.21,415.43,73.0,0
5003.16,421.21,793.07,96.3,0
7391.97,421.21,854.31,87.5,0
5201.15,421.21,960.49,98.3,0
9120.29,421.21,1601.11,94.6,0
5650.98,421.21,532.86,94.7,0
8326.32,421.21,692.45,81.3,0
8070.74,421.21,446.23,67.3,0
4915.12,421.21,934.33,57.7,0
6968.88,421.21,516.98,64.9,0
6648.87,421.21,374.55,80.0,0
12913.99,421.21,1153.99,114.8,0
5827.0,421.21,999.67,77.4,0
19749.62,421.21,200.0,62.0,0
6675.87,421.21,616.95,113.7,0
7489.97,421.21,31.34,104.7,0
6781.15,421.21,552.28,71.6,0
6021.53,421.21,439.86,91.8,0
7290.86,421.21,46.94,63.4,0
5584.99,421.21,930.13,98.1,0
6862.35,421.21,761.28,59.7,0
20229.62,421.21,162.41,72.0,0
7743.74,421.21,204.51,79.0,0
20189.05,421.21,266.16,82.5,0
5458.81,421.21,945.9,129.4,0
5574.81,421.21,856.47,140.9,0
8288.64,421.21,13.27,67.5,0
6244.71,421.21,397.04,63.9,0
13236.34,421.21,1192.27,87.0,0
6247.67,421.21,1012.0,89.9,0
5512.84,421.21,917.89,119.9,0
19910.2,421.21,235.39,97.7,0
6989.9,421.21,60.37,83.3,0
7229.68,421.21,482.76,95.4,0
4866.52,421.21,842.47,91.9,0
19816.4,421.21,191.89,91.4,0
25204.6,422.12,191.56,114.4,0
3464.98,422.12,941.87,112.1,0
26361.0,422.12,1296.07,71.2,1
13605.45,422.12,1824.79,100.0,0
2707.62,422.12,975.32,106.8,0
3725.99,422.12,1156.78,105.6,0
5474.74,422.12,908.8,96.9,0
4717.93,422.12,1188.21,107.1,0
38699.48,422.12,1880.58,187.0,1
6498.58,422.12,1088.14,93.6,0
3311.81,422.12,1054.81,125.7,0
27109.21,422.12,1184.91,88.4,1
4071.55,422.12,1120.04,142.7,0
34607.97,422.12,1494.86,67.6,1
3169.32,422.12,876.95,128.2,0
4115.51,422.12,913.94,126.4,0
5008.13,422.12,856.82,153.4,0
2758.31,422.12,954.85,100.0,0
4405.71,422.12,1027.94,115.7,0
4101.4,422.12,1033.41,95.7,0
2901.57,422.12,894.53,137.0,0
3760.57,422.12,1185.32,82.4,0
23675.38,422.12,1062.68,107.1,1
3425.75,422.12,1128.79,96.9,0
3647.87,422.12,1190.53,76.9,0
3121.58,422.12,959.34,96.3,0
3522.31,422.12,897.85,104.9,0
5499.88,422.12,881.17,85.0,0
3903.58,422.12,1055.2,147.2,0
7233.16,422.12,1109.08,85.1,0
9903.53,422.12,1800.96,90.6,0
5001.63,422.12,1010.4,94.0,0
2797.45,422.12,1012.97,125.0,0
3009.93,422.12,960.46,88.5,0
6038.61,422.12,1095.74,69.7,0
3742.73,422.12,859.86,79.5,0
3142.98,422.12,914.24,111.0,0
3574.13,422.12,1155.59,80.0,0
6831.44,422.12,824.82,98.0,0
3082.55,422.12,938.9,90.7,0
3634.74,422.12,1132.94,81.6,0
10067.05,422.12,1361.49,73.7,0
4383.99,422.12,946.87,72.3,0
6568.8,422.12,1286.82,129.4,0
4867.22,422.12,898.78,102.3,0
4534.21,422.12,1117.77,96.8,0
2808.56,422.12,1005.62,113.6,0
3541.39,422.12,1081.34,125.7,0
4612.24,422.12,913.91,64.6,0
4327.26,422.12,874.8,120.0,0
2598.37,422.12,952.76,97.0,0
13916.34,422.12,616.27,94.2,0
4837.12,422.12,1229.72,89.1,0
10890.52,422.12,1871.9,103.6,0
3406.08,422.12,1165.89,70.8,0
2949.97,422.12,1027.12,85.0,0
10219.05,422.12,1832.68,116.3,0
3180.3,422.12,910.52,103.1,0
3082.76,422.12,896.19,167.6,0
4932.97,422.12,1048.72,79.6,0
4297.9,422.12,825.67,129.8,0
10019.32,422.12,1808.06,64.1,0
5844.94,422.12,836.77,80.4,0
3261.53,422.12,1016.44,78.1,0
32773.88,422.12,1357.72,103.8,1
4445.06,422.12,1108.94,110.0,0
10997.73,422.12,1842.0,79.7,0
3378.48,422.12,866.27,97.8,0
9964.52,422.12,1824.79,71.4,0
2785.36,422.12,915.16,72.4,0
3515.69,422.12,999.96,81.8,0
11137.71,422.12,1880.65,75.0,0
12414.85,422.12,1319.72,76.6,0
3295.42,422.12,859.54,114.7,0
5733.29,422.12,862.72,87.9,0
22642.97,422.12,232.47,89.2,0
2675.75,422.12,983.1,89.0,0
3096.12,422.12,964.36,81.1,0
4123.92,422.12,946.09,103.4,0
11446.53,422.12,1882.56,72.3,0
4207.96,422.12,1179.77,68.8,0
2604.77,422.12,959.61,87.3,0
4856.54,422.12,828.01,88.4,0
4654.53,422.12,933.86,106.9,0
6015.91,422.12,890.46,91.3,0
5592.08,422.12,961.36,85.9,0
7077.83,422.12,820.69,112.6,0
11468.94,422.12,1842.44,93.1,0
15451.85,422.12,1414.93,133.7,0
4375.15,422.12,943.12,79.1,0
5305.85,422.12,1053.15,104.8,0
5404.14,422.12,1117.67,120.3,0
4943.07,422.12,891.77,106.8,0
4565.25,422.12,965.31,64.7,0
4608.73,422.12,1003.24,118.8,0
9761.39,422.12,739.4,97.7,0
2802.5,422.12,924.31,91.1,0
3232.84,422.12,1052.9,90.4,0
9942.02,422.12,1330.15,108.4,0
3622.84,422.12,965.4,62.8,0
10551.37,422.12,739.86,64.1,0
4713.46,422.12,1033.09,79.5,0
23021.21,422.12,283.59,100.3,0
5494.29,422.12,905.53,68.9,0
2874.53,422.12,992.47,73.7,0
3670.84,422.12,971.42,87.6,0
2818.37,422.12,994.06,71.6,0
5486.65,422.12,1068.25,108.7,0
2852.38,422.12,970.38,131.6,0
7257.62,422.12,1077.74,83.7,0
4038.67,422.12,839.1,88.7,0
6277.01,422.12,1260.37,93.1,0
6034.89,422.12,1248.93,130.4,0
4514.7,422.12,999.41,94.0,0
2914.09,422.12,1018.53,114.3,0
5147.43,422.12,1231.77,101.6,0
3622.65,422.12,873.1,77.5,0
3117.47,422.12,886.69,82.7,0
2604.71,422.12,980.64,78.2,0
4026.26,422.12,1045.85,74.6,0
2951.37,422.12,987.65,122.2,0
9421.38,422.12,1209.62,81.7,0
4621.17,422.12,1031.86,68.5,0
2987.11,422.12,1000.43,78.5,0
3382.4,422.12,1151.03,97.5,0
9229.08,422.12,764.52,72.3,0
3249.45,422.12,921.15,71.8,0
4065.36,422.12,1106.71,77.2,0
7469.27,422.12,886.32,77.4,0
10328.49,422.12,1807.5,89.7,0
3403.83,422.12,958.16,107.0,0
5939.14,422.12,899.6,112.4,0
5842.59,422.12,898.61,89.2,0
18324.79,422.12,325.67,72.4,0
11113.8,422.12,1797.05,86.1,0
9758.07,2025.42,1617.16,133.5,0
13101.35,2025.42,1730.74,139.4,0
9422.57,2025.42,1210.98,731.7,0
10076.12,2025.42,1651.74,250.9,0
7219.69,2025.42,1404.05,414.9,0
11004.75,2025.42,1544.63,81.6,0
12150.7,2025.42,1540.46,117.0,0
13771.48,2025.42,1167.85,104.5,1
13553.03,2025.42,1866.94,119.9,0
9732.62,2025.42,1312.14,135.4,0
15072.37,2025.42,1410.4,109.9,0
7628.4,2025.42,1242.34,121.4,0
15587.22,2025.42,856.06,247.0,0
10120.33,2025.42,1697.37,203.6,0
14192.31,2025.42,1889.67,88.4,0
9232.76,2025.42,1693.07,90.3,0
8984.95,2025.42,1167.38,111.3,0
14686.56,2025.42,1165.76,97.0,1
12470.73,2025.42,1513.6,94.5,0
7186.63,2025.42,1286.49,115.7,0
8521.73,2025.42,1578.64,69.0,0
18150.26,2025.42,658.95,69.5,0
9477.49,2025.42,1181.57,48.1,0
20572.61,2025.42,860.65,85.3,0
10690.79,2025.42,1574.61,94.7,0
9541.77,2025.42,1526.28,175.3,0
12460.92,2025.42,899.04,54.0,0
7906.43,2025.42,1462.6,62.0,0
22546.51,2025.42,825.72,55.9,0
8224.81,2025.42,1548.17,73.6,0
10970.47,2025.42,1598.38,84.1,0
8659.49,2025.42,1665.13,74.2,0
11816.55,2025.42,933.26,87.3,0
9122.65,2025.42,1683.72,74.5,0
11277.47,2025.42,1622.32,82.9,0
40916.7,2025.42,2689.99,125.9,0
7489.18,2025.42,1511.9,74.8,0
17154.57,2025.42,671.91,71.0,0
7244.26,2025.42,1476.17,66.0,0
13355.35,2025.42,1169.0,98.6,0
8095.91,2025.42,1237.23,55.8,0
7109.06,2025.42,1306.21,48.9,0
16311.6,2025.42,703.01,64.4,0
9665.82,2025.42,1318.37,61.5,0
10295.15,2025.42,1054.81,50.0,0
9631.78,2025.42,1321.92,47.0,0
8744.38,2025.42,1246.79,76.2,0
9960.89,2025.42,1088.94,75.4,0
10272.57,2025.42,1616.39,73.8,0
8839.55,2025.42,1218.13,55.4,0
9370.56,2025.42,1250.6,49.6,0
9826.42,2025.42,1090.43,60.6,0
10674.79,2025.42,1558.81,79.3,0
7119.84,2025.42,1328.16,66.0,0
19069.44,2025.42,1122.96,112.9,0
22837.66,2025.42,770.38,80.8,0
11185.07,2025.42,1248.63,52.0,0
14011.06,2025.42,934.64,50.2,0
9820.9,2025.42,1098.81,62.6,0
8172.45,2025.42,1219.78,70.9,0
7610.61,2025.42,1268.11,65.9,0
12283.25,2025.42,909.45,60.7,0
12612.79,2036.8,1534.94,402.1,1
8380.47,2036.8,1813.44,317.7,0
14513.44,2036.8,1337.49,142.9,1
16373.66,2036.8,230.55,95.0,0
14059.5,2036.8,312.9,654.2,0
10150.64,2036.8,1204.43,72.1,0
7780.79,2036.8,1472.03,110.8,0
12506.64,2036.8,1702.9,176.6,0
10685.35,2036.8,1208.53,52.4,0
20145.46,2036.8,262.62,55.7,0
14925.58,2036.8,2198.91,159.4,0
7878.88,2036.8,1376.0,74.6,0
14866.85,2036.8,467.55,60.0,0
20347.94,2036.8,1162.9,132.0,0
21030.78,2036.8,1083.31,190.2,0
25938.88,2036.8,1216.72,41.0,0
8424.77,2036.8,1301.15,81.5,0
9510.06,2036.8,1833.66,66.2,0
6957.35,2036.8,1379.33,121.5,0
14257.12,2036.8,614.86,55.0,0
7082.48,2036.8,1424.2,83.1,0
16397.91,2036.8,753.06,123.5,0
14607.52,2036.8,1221.41,175.3,0
27659.79,2036.8,1108.22,60.1,0
8922.23,2036.8,1387.25,63.8,0
8664.47,2036.8,1853.99,66.3,0
14247.68,2036.8,2039.41,101.2,0
7384.08,2036.8,1394.84,59.1,0
8278.25,2036.8,1756.46,87.7,0
9693.01,2036.8,1877.84,59.2,0
8381.63,2036.8,1542.32,78.6,0
22939.49,2036.8,2674.16,115.2,0
17217.78,2036.8,190.66,113.4,0
8415.67,2036.8,1736.15,61.1,0
9881.46,2036.8,1892.56,55.9,0
14825.27,2036.8,2229.45,104.5,0
7625.15,2036.8,1392.33,61.0,0
10484.87,2036.8,1559.36,142.9,0
10051.15,2036.8,1234.18,52.5,0
13307.54,2036.8,514.77,57.0,0
15771.48,2036.8,688.64,69.5,0
8276.37,2036.8,1779.41,120.6,0
8307.99,2036.8,1583.98,51.9,0
14345.38,2036.8,2223.55,51.3,0
8487.58,2036.8,1709.25,43.2,0
16660.02,2036.8,2020.58,93.7,0
16068.46,2036.8,2031.51,115.7,0
17967.09,2036.8,2459.55,65.8,0
17444.15,2036.8,162.34,49.8,0
8948.39,2036.8,1871.33,96.7,0
13338.82,2036.8,424.24,78.4,0
15226.83,2036.8,1200.54,114.8,0
10094.73,2036.8,1530.1,83.0,1
13449.69,2036.8,402.08,71.5,0
18371.79,2036.8,2466.97,80.9,0
14082.72,2036.8,2064.8,74.2,0
6865.59,2036.8,1412.48,67.8,0
17307.38,2036.8,810.18,61.3,0
14032.43,2036.8,343.17,52.6,0
15305.54,2036.8,2132.69,48.1,0
13750.72,2036.8,563.41,105.2,0
20571.08,2036.8,2563.84,71.4,0
26008.35,2036.8,1192.53,49.9,0
24897.96,2036.8,2724.57,57.2,0
7971.74,2036.8,1558.99,94.2,0
14343.43,2036.8,2235.22,85.7,0
9177.74,2036.8,1891.2,52.3,0
17304.8,2036.8,139.19,54.2,0
6944.9,2036.8,1409.48,62.8,0
20961.4,2036.8,2582.91,65.3,0
15353.48,2036.8,1170.51,77.8,0
26700.6,2036.8,2632.39,70.0,1
6835.41,2036.8,1412.16,62.2,0
9987.49,2036.8,1909.36,69.7,0
15857.96,204.34,305.85,276.0,1
18249.26,204.34,283.29,187.2,0
16336.62,204.34,276.56,298.3,1
10769.64,204.34,560.03,149.6,0
15139.62,204.34,267.26,128.1,0
11858.75,204.34,261.28,207.5,0
4265.47,204.34,601.66,122.6,0
5965.07,204.34,488.4,120.2,0
4673.01,204.34,570.36,127.0,0
16379.91,204.34,106.5,149.3,0
12293.23,204.34,242.59,162.1,1
21055.4,204.34,268.9,306.8,0
6502.69,204.34,483.7,132.9,0
13669.58,204.34,188.99,137.2,0
5961.2,204.34,661.98,220.8,0
9299.19,204.34,370.88,177.4,0
22398.91,204.34,276.79,129.8,0
16618.62,204.34,111.44,105.1,0
5860.39,204.34,514.62,119.3,0
4930.59,204.34,635.39,117.5,0
11045.73,204.34,659.04,179.2,0
4398.39,204.34,597.68,143.3,0
12011.61,204.34,266.92,124.6,0
5989.12,204.34,465.15,158.0,0
8097.77,204.34,530.58,117.5,0
8294.49,204.34,389.33,165.2,0
6398.42,204.34,663.32,133.4,0
13758.25,204.34,221.13,110.3,0
4840.78,204.34,618.18,110.5,0
14000.97,204.34,172.78,103.2,0
12998.43,204.34,648.92,143.1,0
6012.79,204.34,581.67,112.3,0
4513.34,204.34,578.33,91.4,0
8654.28,204.34,384.28,95.0,0
13746.38,204.34,178.25,94.6,0
5592.2,204.34,530.77,116.1,0
4427.84,204.34,588.36,153.6,0
5304.05,204.34,542.71,99.2,0
4389.04,204.34,619.21,169.7,0
14134.64,204.34,301.33,117.0,0
5971.44,204.34,479.31,147.2,0
7358.48,204.34,512.55,128.5,0
10887.33,204.34,581.21,133.1,0
7702.79,204.34,658.57,137.4,0
7786.28,204.34,489.12,95.6,0
13656.0,204.34,560.27,102.0,0
6275.56,204.34,469.0,110.4,0
6393.09,204.34,504.33,99.8,0
5427.85,204.34,567.25,103.7,0
4536.06,204.34,587.4,110.9,0
14901.36,204.34,148.4,100.0,0
6439.07,204.34,540.47,110.4,0
16498.12,204.34,108.27,95.1,0
4189.15,204.34,607.96,140.6,0
15308.08,204.34,145.73,129.7,0
6026.71,204.34,652.73,95.1,0
22809.9,204.34,31.93,110.4,0
4313.03,204.34,595.17,122.4,0
6791.09,204.34,635.0,99.0,0
5813.23,204.34,660.45,100.8,0
5640.18,204.34,647.31,92.5,0
4618.72,204.34,587.29,138.1,0
13061.31,204.34,193.18,107.2,0
12646.39,204.34,215.5,104.5,0
12589.16,204.34,216.45,107.2,0
7133.13,204.34,441.7,104.1,0
17382.04,204.34,614.92,110.0,0
5280.98,204.34,561.18,95.1,0
4415.99,204.34,592.89,137.8,0
8415.69,204.34,387.0,102.0,0
15102.0,204.34,335.33,137.4,0
5407.21,204.34,530.8,104.1,0
4633.74,204.34,624.15,116.4,0
8942.39,204.34,386.27,107.2,0
6190.5,204.34,451.69,114.3,0
5097.95,204.34,576.27,107.2,0
6352.58,204.34,444.2,97.5,0
6721.82,204.34,644.0,105.5,0
6155.91,204.34,550.54,114.3,0
27407.5,239.69,303.14,124.9,1
6126.13,239.69,566.96,129.6,1
28174.27,239.69,309.86,159.5,1
30049.65,239.69,421.24,112.3,0
5181.74,239.69,643.42,351.1,0
6133.44,239.69,490.65,109.3,0
5279.2,239.69,552.99,147.8,0
3741.34,239.69,585.25,355.8,0
6376.53,239.69,469.47,148.8,0
3516.64,239.69,610.45,167.6,0
26410.73,239.69,306.41,109.5,0
22517.01,239.69,624.0,126.4,1
3603.88,239.69,632.51,122.8,0
3360.54,239.69,551.22,152.6,0
9412.12,239.69,385.03,180.4,0
3579.04,239.69,556.61,100.9,0
3777.5,239.69,546.0,244.7,1
5682.79,239.69,559.45,103.5,0
16191.36,239.69,643.74,102.7,0
3771.14,239.69,650.76,178.6,0
3797.74,239.69,598.82,110.7,0
4372.48,239.69,612.79,217.4,0
3872.54,239.69,614.24,100.2,0
3607.63,239.69,594.59,123.7,0
15866.2,239.69,659.11,99.8,0
6024.62,239.69,478.87,146.4,0
4384.37,239.69,512.15,105.7,0
5398.79,239.69,533.54,127.3,0
4320.54,239.69,543.84,110.5,0
33913.51,239.69,454.48,133.8,0
4529.54,239.69,663.07,110.4,0
3113.33,239.69,613.35,163.6,0
4609.12,239.69,555.24,103.2,0
3414.04,239.69,580.92,124.3,0
3298.43,239.69,626.25,98.7,0
6138.39,239.69,481.09,113.5,0
3845.94,239.69,622.15,113.0,0
3285.95,239.69,582.13,112.5,0
3406.44,239.69,549.41,155.1,0
3547.01,239.69,544.09,110.0,0
3426.57,239.69,603.7,188.5,0
3254.06,239.69,593.5,106.3,0
22431.39,239.69,654.64,130.6,0
3235.6,239.69,624.34,163.5,0
3322.09,239.69,644.55,95.1,0
8227.75,239.69,464.39,118.7,0
7230.66,239.69,460.62,102.5,0
4412.35,239.69,547.92,99.0,0
3580.89,239.69,537.0,117.7,0
29232.18,239.69,428.5,117.0,0
5799.46,239.69,659.17,127.5,0
11048.85,239.69,353.39,149.7,0
5321.4,239.69,493.0,129.6,0
11210.5,239.69,355.07,116.4,0
4373.08,239.69,651.43,116.4,0
3208.91,239.69,640.1,95.6,0
3615.6,239.69,605.8,106.8,0
3452.52,239.69,631.53,102.0,0
4556.99,239.69,546.08,110.0,0
27574.13,239.69,656.94,102.8,0
7660.83,239.69,459.91,104.9,0
