alcohol,sulphates,total sulfur dioxide,volatile acidity,qualityred
9.3,1.02,110.0,0.61,5
9.3,0.52,42.0,0.73,5
9.3,0.58,65.0,0.61,5
9.3,0.58,62.0,0.62,6
9.7,0.53,85.0,0.31,5
9.2,0.55,67.0,0.39,5
9.7,0.49,26.0,705.0,5
9.5,0.55,143.0,0.5,5
9.5,0.55,144.0,0.49,5
9.4,0.62,127.0,0.5,5
9.8,0.62,49.0,0.37,6
9.5,0.61,126.0,0.63,5
9.7,0.55,28.0,0.55,5
9.7,0.55,28.0,0.55,5
9.4,0.54,120.0,0.59,5
10.2,0.59,55.0,0.58,5
10.1,0.97,27.0,0.3,6
13.0,0.85,93.0,835.0,7
11.4,0.43,31.0,1.09,4
10.3,0.82,24.0,0.32,7
9.3,1.03,145.0,0.37,5
9.5,0.79,49.0,0.5,5
9.2,0.55,39.0,0.42,5
9.2,0.56,37.0,0.43,6
10.8,0.77,28.0,0.3,7
10.8,0.77,28.0,0.3,7
9.3,0.53,120.0,0.57,5
9.4,0.67,95.0,0.44,5
10.5,0.88,19.0,0.3,7
12.4,0.86,19.0,0.53,6
10.0,0.56,62.0,725.0,6
10.2,0.67,15.0,0.44,6
10.1,0.43,65.0,0.57,5
9.8,0.71,41.0,735.0,6
10.5,0.76,121.0,0.49,5
11.0,0.57,49.0,625.0,5
9.1,0.55,41.0,725.0,5
9.7,0.54,44.0,0.49,5
9.5,0.6,144.0,0.53,5
9.4,0.59,58.0,0.34,6
9.4,0.57,72.0,0.53,5
9.5,0.6,10.0,0.61,5
10.0,0.6,28.0,645.0,6
10.4,0.57,55.0,635.0,4
10.5,0.58,63.0,0.43,6
9.5,1.61,81.0,0.59,6
9.8,0.63,23.0,0.82,5
10.5,0.58,63.0,0.43,6
11.0,0.5,37.0,0.52,5
12.2,0.62,106.0,0.48,7
9.9,0.52,49.0,0.38,6
9.6,0.7,58.0,0.37,6
11.0,0.5,37.0,0.52,5
9.0,0.55,37.0,1.0,6
9.0,0.58,38.0,0.63,6
9.0,0.58,38.0,0.63,6
9.2,0.58,39.0,645.0,6
9.0,0.58,38.0,0.63,6
9.0,0.55,37.0,1.0,6
9.3,1.09,62.0,635.0,5
10.9,0.71,24.0,0.38,6
9.8,0.49,109.0,0.58,6
9.2,0.84,24.0,0.21,7
9.2,0.84,24.0,0.21,7
9.9,0.96,23.0,0.66,6
9.5,0.52,51.0,0.68,5
9.3,0.45,73.0,0.6,5
9.8,0.48,39.0,0.53,6
9.9,0.96,23.0,0.66,6
10.0,0.78,37.0,0.32,6
9.9,0.7,34.0,0.6,6
10.5,0.53,21.0,0.35,5
9.5,0.59,86.0,775.0,5
9.9,0.7,34.0,0.6,6
9.3,0.57,119.0,0.57,5
9.2,0.62,13.0,0.34,5
9.2,0.67,56.0,695.0,5
9.4,1.26,45.0,0.41,5
10.5,0.8,33.0,0.31,7
9.3,0.65,45.0,0.33,5
9.4,0.6,67.0,975.0,4
10.0,0.57,35.0,0.52,5
9.3,0.67,49.0,0.37,5
10.9,0.87,27.0,0.56,5
10.2,0.72,10.0,0.26,7
9.8,0.72,61.0,0.87,4
12.8,0.86,37.0,0.35,8
9.4,0.91,27.0,0.54,6
10.1,0.97,23.0,0.18,6
10.7,0.67,61.0,545.0,6
10.1,0.97,23.0,0.18,6
10.1,0.78,65.0,0.37,5
9.4,0.64,38.0,715.0,5
9.4,0.77,94.0,0.65,5
10.7,0.67,61.0,545.0,6
9.4,0.91,27.0,0.54,6
10.1,0.97,23.0,0.18,6
12.6,0.82,13.0,0.32,8
10.5,0.77,47.0,0.4,7
9.3,0.82,19.0,0.26,6
9.9,1.08,10.0,0.27,7
9.1,0.57,53.0,0.52,5
10.5,0.77,47.0,0.4,7
9.8,0.71,71.0,0.59,5
9.8,0.71,71.0,0.59,5
10.3,0.76,49.0,0.45,6
10.3,0.7,53.0,0.4,6
10.6,0.86,49.0,0.52,7
9.2,0.95,98.0,0.42,5
10.6,0.86,49.0,0.52,7
10.5,0.71,18.0,0.2,5
10.3,0.64,48.0,0.55,6
10.1,0.6,16.0,0.36,6
9.5,0.81,53.0,0.34,6
9.5,0.64,27.0,0.5,5
9.9,0.52,70.0,0.83,5
9.6,0.73,29.0,0.63,5
9.7,0.8,31.0,0.65,5
9.6,0.71,33.0,0.67,5
10.7,0.59,44.0,0.53,6
10.1,0.64,15.0,0.18,6
10.0,0.72,28.0,705.0,5
9.5,0.54,21.0,0.67,5
9.2,0.52,90.0,0.65,5
9.3,0.59,25.0,0.53,6
9.4,0.52,54.0,0.62,5
9.5,0.62,14.0,0.41,6
9.5,0.63,12.0,0.43,6
9.5,0.53,30.0,0.29,6
9.3,0.59,25.0,0.53,6
9.4,0.54,105.0,0.53,6
9.5,0.63,98.0,0.46,6
9.4,0.53,135.0,0.47,5
11.0,0.68,72.0,0.36,5
11.0,0.65,53.0,0.35,6
10.1,0.65,92.0,0.56,5
10.4,0.64,74.0,0.77,6
11.5,0.71,59.0,0.66,7
10.4,0.64,74.0,0.77,6
11.5,0.71,59.0,0.66,7
9.7,0.62,87.0,0.61,5
9.3,0.63,18.0,0.62,5
9.5,0.7,73.0,0.59,6
9.2,0.69,50.0,0.49,6
9.2,0.69,50.0,0.49,6
11.5,0.74,14.0,0.53,7
11.5,0.83,13.0,0.44,5
9.7,0.67,21.0,0.27,6
9.5,0.62,15.0,0.46,5
12.5,0.66,41.0,0.36,6
12.5,0.66,41.0,0.36,6
9.4,0.54,114.0,0.58,6
11.0,0.52,44.0,0.56,5
11.7,0.74,38.0,0.65,7
12.2,0.84,21.0,695.0,7
12.5,0.7,16.0,0.43,6
10.3,0.64,58.0,0.43,5
11.5,1.0,99.0,0.49,6
9.8,1.36,29.0,0.28,7
9.2,1.18,21.0,0.34,6
11.3,0.87,18.0,0.42,6
9.8,0.75,14.0,0.39,6
9.8,0.75,14.0,0.39,6
10.7,0.78,32.0,0.57,6
9.9,0.81,63.0,685.0,5
12.3,0.89,34.0,815.0,7
12.0,0.93,15.0,0.49,6
10.0,0.92,46.0,0.56,6
9.4,0.86,28.0,785.0,6
9.9,0.98,34.0,0.67,6
9.4,0.83,26.0,795.0,6
9.3,0.73,19.0,665.0,5
13.0,0.77,77.0,0.53,5
11.9,0.59,165.0,0.21,6
12.8,0.61,32.0,0.75,6
11.0,0.88,55.0,0.41,5
11.7,0.75,29.0,0.42,7
10.4,0.85,23.0,0.43,7
9.8,0.68,41.0,0.38,6
9.4,0.7,81.0,0.7,5
9.9,0.91,50.0,0.45,6
10.0,0.56,37.0,0.58,5
10.2,0.87,15.0,0.46,5
10.0,0.73,42.0,615.0,7
11.8,0.93,21.0,0.42,6
10.0,0.73,42.0,615.0,7
9.0,0.69,24.0,575.0,5
9.4,0.64,75.0,0.34,5
12.0,1.13,18.0,0.27,7
9.9,0.78,63.0,765.0,5
8.7,0.87,25.0,0.24,6
10.6,1.04,46.0,0.28,6
9.2,0.63,72.0,0.55,5
10.8,0.81,47.0,0.41,6
11.8,0.83,15.0,0.54,7
11.0,1.11,47.0,0.45,6
12.0,1.13,18.0,0.27,7
13.3,0.99,24.0,625.0,6
10.8,0.7,60.0,0.42,6
9.4,0.8,27.0,0.26,6
10.0,0.8,43.0,415.0,6
9.4,0.8,27.0,0.26,6
9.4,0.8,27.0,0.26,6
9.2,0.74,54.0,0.51,5
9.7,0.76,37.0,0.63,6
9.2,0.74,48.0,0.54,6
9.6,0.54,42.0,0.66,6
9.2,0.74,53.0,0.46,6
10.0,0.7,49.0,0.38,7
12.9,0.82,88.0,0.85,8
10.0,0.8,43.0,415.0,6
9.5,0.51,26.0,0.37,5
9.1,0.54,95.0,665.0,5
9.9,0.57,25.0,0.6,5
13.0,0.6,38.0,0.37,7
9.9,0.53,124.0,735.0,5
11.0,0.65,49.0,0.59,6
11.0,0.65,49.0,0.59,6
9.4,0.55,42.0,765.0,5
9.9,0.53,124.0,735.0,5
10.8,0.47,38.0,0.26,6
10.5,0.61,64.0,0.48,6
10.5,0.63,41.0,0.6,6
9.1,0.61,27.0,0.69,5
10.1,0.76,25.0,0.31,6
10.8,0.65,28.0,0.44,6
10.8,0.63,30.0,0.39,7
11.3,0.7,16.0,0.34,6
9.6,0.57,49.0,0.46,4
9.5,0.62,86.0,0.43,6
9.5,0.62,78.0,0.45,5
9.3,0.64,77.0,735.0,5
11.7,0.82,19.0,0.4,7
9.5,0.61,122.0,0.52,5
9.3,1.07,134.0,725.0,5
11.7,0.66,20.0,0.48,6
10.5,0.48,124.0,0.58,5
10.4,0.76,20.0,0.38,6
9.9,0.68,52.0,0.77,5
11.8,0.73,67.0,0.56,7
12.3,0.56,48.0,0.84,7
10.9,0.44,60.0,0.96,5
11.0,0.9,24.0,0.24,7
10.9,0.44,60.0,0.96,5
12.3,0.56,48.0,0.84,7
11.4,0.49,48.0,0.67,6
10.6,0.56,32.0,0.78,6
9.3,0.6,30.0,0.52,5
10.4,0.6,35.0,0.84,6
11.0,0.9,24.0,0.24,7
9.2,0.56,66.0,0.55,5
12.8,0.65,24.0,0.37,6
9.5,0.49,18.0,0.39,5
9.9,0.89,54.0,0.41,6
9.5,0.49,18.0,0.39,5
10.2,0.56,62.0,0.67,6
11.2,0.66,22.0,0.45,6
9.9,0.89,54.0,0.41,6
9.3,0.6,50.0,0.62,5
9.8,0.82,29.0,0.31,8
11.3,0.68,27.0,0.4,6
11.2,0.68,43.0,685.0,7
11.6,0.63,19.0,0.44,7
12.5,0.84,27.0,0.57,7
10.1,0.56,31.0,735.0,6
10.5,0.73,72.0,0.38,5
11.2,0.72,16.0,0.48,5
10.2,0.56,27.0,0.53,6
10.8,0.61,35.0,0.39,6
10.8,0.61,35.0,0.39,6
9.1,1.06,26.0,0.37,6
10.0,0.63,35.0,0.56,6
11.2,0.74,22.0,0.33,7
11.1,0.63,67.0,0.23,5
13.4,0.69,19.0,0.62,8
10.3,0.58,22.0,0.59,5
9.6,0.58,65.0,0.63,5
11.2,0.74,22.0,0.33,7
9.0,0.57,47.0,0.58,3
11.3,0.61,23.0,0.43,6
9.3,0.61,19.0,615.0,5
11.8,0.61,25.0,0.26,5
9.0,0.53,129.0,0.66,5
9.2,0.7,15.0,315.0,6
9.7,0.91,26.0,0.29,5
11.5,0.72,51.0,0.5,6
14.0,0.79,18.0,0.46,6
9.2,0.62,21.0,0.36,6
9.8,0.58,48.0,0.82,5
10.6,0.61,47.0,0.32,5
11.4,0.71,52.0,0.54,6
10.4,0.82,68.0,0.37,6
10.6,0.79,14.0,0.35,5
9.4,0.89,24.0,0.28,6
10.2,0.6,28.0,0.68,5
9.7,0.7,16.0,0.27,5
11.0,1.06,20.0,0.24,6
10.2,0.6,28.0,0.68,5
10.1,0.7,31.0,685.0,6
9.2,0.66,23.0,0.28,5
11.7,0.92,17.0,0.3,8
9.4,1.05,18.0,0.36,5
9.4,1.06,18.0,0.36,5
13.4,0.66,24.0,0.44,6
10.0,0.47,17.0,0.67,5
10.0,0.47,17.0,0.67,5
10.0,0.42,14.0,645.0,6
10.8,0.92,67.0,0.32,7
10.2,0.75,26.0,0.39,6
10.6,0.67,56.0,775.0,6
13.3,0.79,25.0,0.41,7
13.4,0.9,27.0,0.4,7
11.6,0.74,81.0,0.69,6
12.1,0.55,91.0,0.39,6
11.0,0.65,16.0,0.35,8
9.0,0.65,38.0,0.52,6
11.1,0.79,113.0,0.34,5
11.0,0.65,16.0,0.35,8
11.6,0.74,81.0,0.69,6
9.0,0.65,38.0,0.52,6
12.0,0.85,76.0,0.44,7
12.0,0.85,76.0,0.44,7
10.9,1.04,24.0,0.26,7
10.8,1.05,22.0,0.24,7
12.5,0.78,26.0,0.49,7
10.8,1.02,21.0,0.24,7
9.5,0.71,13.0,0.67,6
10.2,0.63,62.0,0.59,6
11.4,0.68,43.0,0.29,7
9.5,0.61,43.0,0.42,5
10.2,0.63,62.0,0.59,6
9.7,0.81,49.0,0.4,6
11.8,0.66,15.0,0.51,7
11.8,0.66,15.0,0.51,7
9.3,1.14,151.0,655.0,5
11.9,0.74,14.0,0.6,6
8.4,0.63,16.0,0.61,3
11.7,0.68,32.0,0.21,6
11.0,0.78,106.0,365.0,5
10.0,0.9,33.0,0.25,6
9.1,0.64,43.0,0.41,5
9.8,0.99,133.0,0.39,5
9.4,0.55,142.0,0.4,5
9.5,0.64,116.0,0.43,5
9.9,0.67,53.0,0.64,5
11.0,0.78,106.0,365.0,5
11.4,0.77,85.0,0.38,6
8.7,0.75,55.0,0.42,6
9.4,0.57,33.0,0.63,5
10.3,0.87,28.0,0.22,6
10.3,0.61,42.0,0.38,5
10.3,0.61,42.0,0.38,5
12.8,0.66,33.0,0.27,6
10.0,0.56,32.0,0.48,6
10.3,0.87,28.0,0.22,6
9.4,0.57,33.0,0.63,5
10.7,0.77,13.0,825.0,6
12.0,0.66,35.0,0.35,7
11.2,0.62,17.0,0.5,5
9.6,0.67,47.0,0.59,5
11.0,0.73,17.0,0.46,6
9.9,0.59,20.0,715.0,5
11.0,0.72,53.0,0.66,6
8.4,0.79,15.0,0.31,6
9.1,0.59,106.0,0.47,5
9.5,0.78,28.0,0.55,6
10.7,0.86,21.0,0.31,6
10.4,0.75,69.0,0.35,6
9.4,0.61,25.0,0.53,6
9.5,0.56,25.0,0.51,6
10.0,0.73,45.0,0.43,6
10.0,0.74,44.0,0.46,6
11.5,0.62,96.0,1.04,5
11.1,0.74,23.0,645.0,5
11.1,0.74,23.0,645.0,5
11.7,0.56,17.0,0.53,6
11.1,0.74,23.0,645.0,5
11.7,0.56,17.0,0.53,6
12.7,0.68,47.0,0.47,6
11.4,0.57,19.0,0.6,5
9.2,0.58,121.0,0.44,5
9.2,0.61,110.0,0.54,5
10.1,0.61,60.0,0.29,6
12.7,0.68,47.0,0.47,6
11.4,0.57,19.0,0.6,5
9.0,0.6,15.0,0.7,6
9.0,0.6,15.0,0.7,6
10.7,0.79,20.0,0.5,6
11.7,0.57,42.0,0.36,6
11.0,0.91,37.0,0.35,6
11.7,0.57,42.0,0.36,6
10.4,0.61,28.0,0.24,5
9.6,0.56,47.0,0.59,4
10.0,0.7,78.0,0.34,6
10.2,0.8,46.0,0.27,6
10.0,0.52,14.0,0.5,4
9.5,0.6,111.0,0.44,5
9.8,0.6,110.0,0.47,5
9.8,0.51,40.0,0.31,6
9.6,0.44,14.0,0.5,5
9.6,0.44,14.0,0.5,5
9.2,0.43,15.0,0.49,5
9.9,0.66,21.0,0.28,7
10.7,0.76,80.0,0.33,7
9.6,0.66,38.0,0.51,6
10.6,1.02,47.0,0.31,7
9.3,0.59,102.0,0.73,5
14.0,0.74,50.0,0.42,8
10.5,0.74,13.0,0.29,7
9.7,0.57,75.0,0.45,5
11.5,0.5,149.0,0.39,6
9.7,0.57,75.0,0.45,5
9.0,0.58,43.0,0.49,5
9.5,0.53,38.0,0.72,5
9.3,0.57,109.0,595.0,5
9.3,0.6,24.0,0.4,6
10.0,0.63,18.0,0.58,6
9.8,0.48,30.0,585.0,6
9.3,0.7,22.0,0.59,6
10.0,0.47,23.0,915.0,4
9.0,0.56,35.0,0.46,6
9.3,0.52,14.0,835.0,5
9.0,0.56,35.0,0.46,6
9.1,0.62,63.0,0.58,6
9.2,0.59,24.0,0.6,6
12.2,0.79,20.0,0.41,7
10.5,0.53,52.0,0.48,6
10.4,0.64,65.0,0.65,6
12.7,0.52,39.0,0.36,6
9.2,0.54,57.0,0.24,5
9.4,0.54,16.0,0.38,5
10.0,0.6,29.0,0.64,6
9.8,0.74,29.0,0.39,5
10.2,1.36,103.0,755.0,6
9.7,0.57,71.0,0.6,5
9.7,0.57,71.0,0.6,5
9.8,0.93,28.0,0.31,6
10.2,0.7,17.0,0.46,5
9.3,0.8,16.0,0.37,5
9.4,0.61,112.0,0.54,5
9.4,0.62,104.0,0.56,5
9.5,0.55,32.0,0.58,5
12.1,0.96,45.0,0.51,6
10.2,0.72,58.0,0.69,5
10.2,0.72,58.0,0.69,5
9.1,0.49,15.0,0.6,5
9.1,0.49,15.0,0.6,5
9.3,0.6,31.0,0.54,6
9.3,0.61,84.0,685.0,5
9.3,0.6,31.0,0.54,6
9.5,0.63,19.0,0.28,5
10.5,0.57,43.0,0.41,6
11.3,0.64,86.0,935.0,4
9.5,0.58,102.0,0.35,5
9.7,0.55,33.0,0.84,5
9.4,0.53,147.0,0.88,5
9.4,0.53,145.0,885.0,5
10.2,0.65,23.0,915.0,7
10.3,1.36,57.0,0.29,6
9.4,0.62,40.0,0.54,5
9.5,0.63,68.0,0.59,5
9.4,0.62,40.0,0.54,5
9.5,0.63,68.0,0.59,5
9.4,0.62,40.0,0.54,5
10.1,0.69,11.0,0.64,7
10.1,0.63,20.0,0.67,5
11.0,0.58,14.0,845.0,4
11.2,0.67,28.0,0.48,7
11.3,0.57,148.0,0.42,6
9.6,0.5,32.0,0.43,5
11.2,0.67,155.0,0.88,5
14.9,0.84,71.0,0.36,5
12.0,0.54,30.0,0.33,6
9.5,0.46,29.0,0.47,5
9.4,0.61,53.0,0.55,5
9.6,0.5,32.0,0.43,5
10.5,0.68,42.0,0.5,7
9.6,0.81,20.0,0.52,6
11.0,0.57,13.0,0.84,4
9.6,0.81,20.0,0.52,6
9.0,0.64,42.0,0.42,5
9.6,0.7,27.0,0.57,6
10.2,0.79,13.0,0.28,6
10.2,0.66,54.0,0.4,5
9.7,0.56,48.0,0.59,5
9.5,0.6,16.0,0.49,6
9.2,0.66,15.0,0.34,6
11.0,0.57,31.0,0.73,5
9.2,0.66,15.0,0.34,6
10.0,0.58,45.0,0.4,5
9.5,0.52,13.0,0.73,5
9.5,0.53,151.0,1.24,5
9.5,0.52,13.0,0.73,5
9.3,0.67,17.0,0.4,6
10.2,0.65,31.0,0.41,5
9.3,0.67,17.0,0.4,6
9.9,0.48,31.0,0.8,5
10.0,0.53,87.0,0.78,5
9.6,0.54,49.0,0.26,5
9.0,0.49,40.0,0.43,5
10.2,0.49,29.0,0.45,6
9.8,0.54,58.0,0.46,5
11.3,0.56,15.0,0.78,5
9.4,0.48,152.0,0.98,5
11.3,0.56,15.0,0.78,5
9.1,0.6,40.0,0.65,5
9.7,0.59,38.0,0.64,5
9.4,0.47,9.0,0.66,5
9.4,1.05,17.0,0.38,5
10.7,0.54,14.0,1.185,3
9.8,0.54,93.0,0.92,5
9.0,1.17,62.0,0.49,5
9.4,0.62,122.0,0.48,5
9.4,0.61,125.0,0.47,5
12.8,0.62,44.0,0.47,6
9.5,0.67,25.0,0.65,6
9.5,0.67,25.0,0.65,6
9.7,0.53,72.0,615.0,5
10.8,0.62,19.0,0.38,6
10.1,0.57,88.0,1.02,6
9.5,0.67,25.0,0.65,6
9.4,0.67,23.0,0.64,6
9.6,0.7,84.0,0.38,4
9.7,0.54,14.0,765.0,4
9.9,0.49,54.0,1.035,5
10.0,0.47,19.0,0.78,5
10.5,0.51,37.0,0.49,5
11.6,0.61,35.0,545.0,6
10.0,0.66,33.0,0.31,6
10.1,0.57,84.0,1.025,5
9.5,0.61,112.0,565.0,5
9.4,0.45,33.0,0.69,5
9.4,0.46,48.0,0.43,5
9.8,0.51,77.0,0.74,5
9.2,0.48,34.0,0.49,6
9.4,0.46,48.0,0.43,5
10.0,0.57,49.0,0.46,5
9.6,0.44,22.0,0.56,5
9.5,0.54,45.0,0.66,5
9.6,0.44,22.0,0.56,5
9.2,0.53,106.0,0.48,5
10.0,0.59,48.0,0.42,5
9.5,1.62,127.0,0.31,5
11.2,0.6,12.0,1.115,4
10.4,0.55,13.0,0.66,5
11.1,0.72,49.0,0.72,6
9.5,0.68,11.0,0.57,5
9.5,0.68,11.0,0.57,5
12.7,0.49,58.0,865.0,6
9.6,0.67,37.0,0.55,5
11.5,0.52,14.0,875.0,5
9.6,0.47,19.0,835.0,5
9.5,0.6,72.0,0.45,5
9.3,0.62,39.0,0.56,5
9.5,0.5,22.0,965.0,5
9.5,0.5,22.0,965.0,5
9.3,0.65,58.0,0.59,6
9.2,0.56,104.0,0.46,5
9.3,0.6,38.0,0.69,5
11.5,0.68,16.0,0.76,6
9.5,0.57,139.0,0.53,5
9.2,0.65,18.0,615.0,5
10.0,0.53,101.0,0.41,5
9.5,0.51,101.0,0.39,5
9.5,0.73,28.0,0.51,6
9.0,0.47,57.0,0.34,6
9.4,0.48,68.0,0.33,5
9.6,0.72,31.0,0.5,6
9.5,0.73,28.0,0.51,6
9.5,0.55,40.0,0.65,5
9.5,0.55,40.0,0.65,5
9.4,0.61,66.0,0.54,5
9.5,0.55,40.0,0.65,5
9.1,1.06,32.0,0.48,6
10.7,0.43,47.0,0.91,6
11.2,0.46,33.0,0.98,6
9.8,0.5,31.0,0.87,5
9.8,0.5,31.0,0.87,5
9.2,0.52,88.0,0.42,5
9.7,0.57,104.0,0.58,5
9.6,0.42,35.0,655.0,5
10.0,0.53,19.0,0.7,6
9.6,0.42,35.0,655.0,5
9.5,0.55,44.0,0.68,6
9.5,0.54,48.0,0.67,6
9.4,0.54,74.0,0.59,5
9.5,0.62,98.0,0.6,5
9.7,0.53,94.0,0.59,6
9.6,0.54,32.0,0.72,5
9.7,0.53,94.0,0.59,6
9.4,0.55,143.0,685.0,5
9.4,0.55,144.0,0.57,5
9.5,0.92,44.0,0.4,6
