alcohol,density,volatile acidity,free sulfur dioxide,qualitywhite
9.1,998.0,0.22,27.0,5
10.6,0.9932,0.36,14.0,5
8.9,0.9979,0.24,48.0,6
9.5,997.0,0.24,64.0,5
9.8,0.9972,0.23,72.0,5
9.6,0.9974,0.27,39.0,6
12.6,0.9896,0.46,25.0,7
9.3,0.9968,0.29,20.0,5
10.0,0.9958,0.42,5.0,5
12.7,0.9906,0.3,29.0,6
11.0,0.9917,0.19,17.0,6
11.4,0.9902,0.48,4.0,4
11.5,0.9918,0.22,31.0,7
10.2,999.0,0.27,33.0,5
11.4,0.9927,0.23,50.0,6
12.6,991.0,0.32,19.0,4
9.4,0.9972,0.23,57.0,5
8.7,0.9931,0.67,9.0,4
9.2,995.0,0.25,41.0,6
9.3,0.9951,0.33,42.0,6
9.2,0.9936,0.34,61.0,5
8.7,1.001,0.28,48.0,5
9.6,0.9979,0.27,64.0,6
9.3,997.0,0.26,64.0,5
9.3,0.9972,0.29,66.0,5
9.9,0.9954,0.24,49.0,6
11.0,0.9924,0.3,42.0,5
12.7,0.9906,0.53,26.0,8
8.9,0.9962,0.28,54.0,4
8.9,0.9962,0.28,55.0,6
8.7,1.001,0.28,48.0,5
11.4,0.9928,0.28,28.0,6
9.6,0.9942,0.15,34.0,5
9.1,0.9942,0.29,75.0,5
9.1,0.9942,0.3,76.0,6
9.1,0.9942,0.29,75.0,5
8.9,0.9961,0.26,54.0,5
8.8,998.0,0.32,52.0,5
8.9,0.9961,0.26,54.0,5
9.3,0.9984,0.27,55.0,5
8.8,998.0,0.32,52.0,5
9.6,0.9973,0.54,53.0,5
12.0,0.9949,0.26,39.0,6
10.2,0.9924,0.28,36.0,4
8.8,0.9972,0.21,45.0,5
9.2,0.9958,0.16,38.0,5
9.9,0.9968,0.44,20.0,4
10.2,0.9938,0.57,15.0,5
9.5,993.0,0.4,23.0,6
10.5,994.0,245.0,12.0,5
11.2,0.9918,0.18,35.0,7
9.2,0.9958,0.16,38.0,5
9.7,0.9944,0.13,31.0,6
11.1,0.9912,0.25,35.0,7
9.4,0.9961,0.26,55.0,5
11.0,0.9939,0.27,45.0,5
9.4,0.9961,0.26,55.0,5
9.4,0.9989,0.28,60.0,5
11.0,0.9938,0.23,43.0,5
11.0,0.9939,0.27,45.0,5
9.1,0.9971,685.0,33.0,6
11.1,0.9912,0.25,35.0,7
9.1,0.9936,0.19,33.0,6
10.4,0.9929,495.0,31.0,6
8.7,0.9998,0.24,39.0,5
9.7,0.9938,0.17,41.0,6
9.1,0.9969,0.25,66.0,6
9.7,0.9938,0.17,41.0,6
8.7,0.9998,0.24,39.0,5
8.9,0.9972,0.64,26.0,4
9.6,0.9976,0.28,38.0,6
9.5,0.9976,0.27,49.0,6
9.0,0.9979,0.23,55.0,6
9.0,0.9979,0.23,55.0,6
9.0,0.9979,0.23,55.0,6
9.0,0.9979,0.23,55.0,6
9.6,0.9972,0.52,54.0,6
11.1,0.9918,0.26,40.0,7
9.6,0.9982,0.25,28.0,6
8.7,0.9985,0.32,49.0,5
10.4,0.9944,0.31,23.0,5
11.4,0.9903,0.21,23.0,7
9.7,0.9934,0.24,64.5,6
8.7,0.9975,0.4,40.0,5
11.3,0.9923,0.18,20.0,6
12.6,0.99,0.21,26.0,7
10.9,0.9905,0.2,12.0,7
10.9,0.9905,0.19,12.0,7
10.0,996.0,0.41,18.0,5
10.0,0.9964,0.21,40.0,4
9.8,998.0,0.26,41.0,3
8.7,0.9975,0.4,40.0,5
11.7,0.9913,0.24,5.0,3
9.3,0.9932,0.24,37.0,6
9.6,0.9935,0.26,45.0,8
11.0,0.9927,0.35,8.0,7
11.0,0.9927,0.35,8.0,7
11.8,0.9912,0.23,23.0,6
11.4,0.9904,0.36,3.0,4
10.2,0.9939,115.0,36.0,6
8.9,0.9996,0.29,36.0,5
10.2,0.9944,0.28,15.0,5
9.6,0.9977,0.29,66.0,6
10.6,0.9912,0.24,22.0,6
8.9,0.9996,0.29,36.0,5
9.2,0.9965,0.32,32.0,6
9.7,0.9944,0.58,34.0,5
9.7,0.9945,585.0,34.0,6
9.7,0.9944,0.59,36.0,6
9.2,0.9965,0.32,32.0,6
9.7,0.9944,0.6,33.0,5
9.3,0.9972,0.25,44.0,5
9.0,0.9949,0.58,30.0,5
9.5,0.9966,0.29,59.0,5
9.8,0.9954,0.19,51.0,6
9.8,0.9954,0.2,50.0,6
10.6,0.9915,0.26,9.0,5
10.6,0.9919,0.32,14.0,4
12.4,0.9916,0.3,17.0,7
12.6,0.99,0.24,22.0,8
12.3,0.9909,0.31,36.0,8
10.5,0.9938,0.44,46.0,4
9.3,0.9982,0.34,51.0,5
8.8,0.9988,0.35,46.0,5
8.8,0.9961,0.32,47.0,5
9.7,0.9978,0.28,51.0,6
9.0,0.9979,0.23,49.0,7
9.0,0.9979,0.23,49.0,7
9.0,0.9979,0.23,49.0,7
9.0,0.9979,0.23,49.0,7
10.5,0.9945,0.15,53.0,6
9.1,1.0,0.28,53.0,5
9.8,0.9957,0.28,26.0,7
8.5,0.9968,0.59,34.0,3
9.4,0.9934,0.33,34.0,6
9.4,0.9976,0.39,33.0,5
11.2,0.9932,0.19,82.0,7
10.0,997.0,0.17,65.0,6
10.3,0.9923,0.17,27.0,6
10.8,0.9914,0.41,36.0,6
10.5,992.0,0.2,12.0,6
10.8,0.9914,0.41,36.0,6
11.1,0.9914,0.29,42.0,6
9.9,0.9949,0.41,41.0,6
9.9,0.9949,0.41,41.0,6
9.9,995.0,0.43,40.0,5
9.9,995.0,0.4,41.0,6
10.4,0.9927,0.33,30.0,7
10.4,0.9928,0.31,36.0,6
11.5,0.9917,0.36,16.0,7
12.5,0.9918,0.55,35.0,8
10.0,0.9954,0.25,37.0,6
10.0,0.9941,0.36,51.0,6
10.0,0.9941,0.34,50.0,5
9.1,0.9934,0.28,42.0,6
10.6,0.9927,0.25,34.0,6
10.5,0.9938,0.24,36.0,5
11.5,0.9933,0.3,19.0,7
10.1,0.9934,125.0,10.0,6
10.3,0.9927,0.1,15.0,7
10.5,0.9938,0.24,36.0,5
10.6,0.9927,0.25,34.0,6
10.4,0.9946,0.28,35.0,6
11.4,993.0,0.41,11.0,5
10.5,0.9946,0.27,131.0,5
10.0,0.9976,0.26,38.0,6
10.0,0.9944,0.34,37.0,6
9.6,0.9978,0.28,55.0,6
10.4,992.0,0.21,33.0,5
12.5,0.9912,0.32,34.0,8
10.6,0.9927,0.24,37.0,5
11.8,0.9906,0.23,16.0,6
9.8,0.9954,0.28,30.0,5
10.8,0.9923,0.26,12.0,5
11.8,0.9906,0.23,16.0,6
11.2,991.0,0.23,15.0,6
9.3,0.9972,0.27,55.0,6
10.4,0.9945,0.26,12.0,5
10.2,0.9934,0.18,49.0,7
9.0,0.9964,0.2,27.0,7
10.0,0.9948,0.24,17.0,6
9.1,0.9962,0.26,30.0,6
10.0,0.9931,0.31,46.0,5
10.0,993.0,0.29,47.0,6
9.6,0.9942,145.0,33.0,6
11.2,0.9906,0.34,20.0,7
8.8,0.9995,0.19,75.0,6
10.0,998.0,0.18,38.0,6
10.0,997.0,0.17,56.0,5
11.4,0.9914,0.12,47.0,7
11.9,992.0,0.33,32.0,7
9.6,0.9924,335.0,27.0,6
11.9,992.0,0.33,32.0,7
9.6,0.9937,0.4,38.5,6
9.0,0.9978,0.22,48.0,6
9.0,0.9978,0.22,48.0,6
9.5,0.9927,0.36,24.0,6
10.4,994.0,0.2,19.0,6
10.6,0.9935,0.24,43.0,6
10.2,0.9968,0.24,54.0,6
8.9,0.9941,365.0,24.0,5
9.7,0.9942,0.15,40.0,6
9.0,0.9978,0.22,48.0,6
11.4,0.9923,0.16,18.0,7
12.3,0.9912,0.26,29.0,7
10.8,0.9923,0.18,40.0,6
9.4,0.9927,0.33,39.0,6
10.6,0.9931,0.29,36.0,6
11.6,0.9941,0.39,26.0,5
9.4,0.9927,0.33,39.0,6
10.6,0.9931,0.29,36.0,6
10.0,0.9934,905.0,17.0,5
9.2,0.9936,0.27,30.0,6
12.5,0.9893,0.33,18.0,7
12.5,0.9893,0.33,18.0,7
10.4,0.9919,0.31,12.0,7
10.0,0.9924,0.2,21.0,7
10.0,0.9927,0.32,17.0,6
10.4,0.9919,0.31,12.0,7
10.0,0.9924,0.2,21.0,7
9.0,0.9975,0.28,48.0,6
9.2,0.9969,0.35,26.0,6
9.2,0.9936,0.27,30.0,6
11.3,991.0,0.36,20.0,7
12.5,0.9893,0.33,18.0,7
10.8,0.9906,0.17,24.0,7
10.1,0.9941,0.39,82.5,5
9.7,995.0,0.21,29.0,6
9.3,0.9983,0.3,60.0,7
9.3,0.9983,0.3,60.0,7
10.6,0.9916,0.36,13.0,5
10.2,0.9957,0.55,19.0,6
12.2,0.99,0.24,20.0,6
8.8,0.9976,0.37,62.0,5
10.0,992.0,0.27,87.0,5
11.4,0.9917,0.28,30.0,5
11.4,0.9917,0.2,35.0,6
9.4,0.9993,0.26,52.0,5
11.7,0.9908,0.19,32.0,6
11.4,0.9917,0.2,35.0,6
8.8,0.9976,0.37,62.0,5
9.2,0.9934,0.35,22.0,5
8.7,1.0,0.27,55.0,5
12.6,0.9918,0.22,33.0,6
10.0,992.0,0.27,87.0,5
12.8,0.9896,0.28,40.0,7
9.4,0.9932,0.49,13.0,5
10.3,992.0,0.14,26.0,6
11.4,0.9917,0.28,30.0,5
9.0,0.9999,0.25,42.0,6
9.6,998.0,0.28,38.0,6
10.5,0.9918,0.19,32.0,5
10.5,0.9918,0.19,32.0,5
9.0,0.9999,0.25,42.0,6
9.6,998.0,0.28,38.0,6
9.8,0.9927,0.21,27.0,6
9.0,0.9959,0.26,57.0,5
9.8,0.9927,0.21,27.0,6
10.5,0.9929,0.31,33.0,6
12.7,0.9898,0.22,41.0,7
10.4,0.9954,0.21,37.0,6
10.4,0.9954,0.21,37.0,6
10.4,0.9954,0.21,37.0,6
10.5,0.9954,0.23,47.0,7
10.4,0.9954,0.21,37.0,6
10.4,0.9954,0.21,37.0,6
9.4,0.9974,0.29,48.0,5
9.1,0.9936,0.21,20.0,5
9.3,0.9978,0.31,54.0,5
9.4,0.9974,0.29,48.0,5
9.8,0.9927,0.34,19.0,5
9.9,0.9934,155.0,73.5,7
9.2,0.9938,0.55,16.0,4
12.1,0.9922,0.23,31.0,8
12.2,992.0,0.2,24.0,7
9.8,0.9935,0.28,23.0,5
12.4,0.9906,0.16,49.0,8
9.9,0.9934,155.0,73.5,7
9.2,0.9934,0.35,23.0,5
11.6,0.9913,0.22,24.0,7
10.4,0.9938,0.38,25.0,6
12.9,0.9898,0.25,54.0,8
9.3,0.9975,0.52,54.0,6
11.0,0.9975,0.24,40.0,6
11.5,0.9937,0.32,16.0,3
12.4,0.9914,0.28,30.0,5
9.8,0.9982,0.41,24.0,6
9.8,0.9982,0.41,24.0,6
10.5,0.9929,0.28,34.0,7
9.1,0.9971,0.6,21.0,5
10.1,0.9921,0.2,34.0,5
10.6,0.9931,0.46,27.0,7
10.5,0.9924,0.27,32.0,7
10.5,0.9929,0.28,34.0,7
9.8,0.9982,0.41,24.0,6
12.9,0.9892,0.23,11.0,7
9.5,0.9956,0.21,26.0,5
9.8,0.9924,0.37,31.0,6
8.5,0.9971,0.43,83.0,5
9.5,0.9956,0.21,26.0,5
9.3,0.9982,0.25,40.0,5
9.5,0.9973,0.25,50.0,5
9.4,0.9932,0.32,15.0,6
8.7,0.9976,0.39,66.0,5
8.9,0.9962,0.21,34.0,5
9.4,0.9956,0.14,54.0,6
9.4,0.9932,0.32,15.0,6
8.7,0.9976,0.39,66.0,5
9.6,0.9992,0.29,59.0,5
9.3,0.9983,0.37,21.0,6
10.0,0.9937,0.38,34.0,5
12.5,0.99,0.24,19.0,6
9.6,0.9944,0.17,34.0,7
9.4,0.9938,0.16,30.0,6
9.5,0.9965,0.24,55.0,5
12.4,0.9893,0.28,42.0,7
10.5,0.9927,0.22,29.0,6
9.2,994.0,0.55,21.0,6
10.4,0.9928,0.22,67.0,6
9.2,0.9964,0.47,31.0,5
10.6,0.9917,0.36,45.0,6
9.5,0.9972,0.25,41.0,5
9.2,0.9964,0.47,31.0,5
9.6,0.9954,0.37,79.0,5
9.7,993.0,0.18,36.0,6
9.7,0.9928,0.16,43.0,6
10.7,0.9916,0.34,32.0,6
10.5,0.9936,0.29,53.0,6
8.9,0.9962,0.26,52.0,6
12.1,0.9899,0.28,8.0,6
12.7,0.9898,0.23,12.0,7
9.9,996.0,0.19,42.0,6
11.4,0.9907,0.19,28.0,6
10.7,994.0,0.2,27.0,6
12.5,0.9913,0.44,28.0,6
8.6,0.9976,0.4,70.0,4
12.5,0.9904,0.23,43.0,6
10.0,992.0,335.0,13.0,5
8.6,0.9976,0.4,70.0,4
9.5,999.0,0.28,54.0,6
9.6,0.9975,0.19,51.0,6
9.9,0.9937,0.3,8.0,6
9.9,0.9937,0.3,8.0,5
8.9,998.0,0.18,46.0,6
8.9,998.0,0.18,46.0,6
8.8,0.9944,0.51,7.0,5
10.0,0.9938,0.24,40.0,7
12.0,0.9907,0.62,55.0,6
10.0,0.9938,0.24,40.0,7
10.0,0.9921,0.27,62.0,6
12.1,0.9908,0.34,8.0,6
11.0,0.9931,0.26,31.0,6
11.2,0.9915,0.36,27.0,6
10.3,0.9952,0.28,34.0,7
10.4,0.9926,0.31,28.0,6
9.1,0.9934,0.18,47.0,5
10.4,992.0,0.15,49.0,6
10.8,0.9918,0.13,20.0,6
11.7,0.9942,0.34,7.0,5
9.8,0.9942,0.19,8.0,5
9.8,0.9942,0.19,8.0,5
11.4,0.9901,0.25,22.0,6
11.2,0.9898,0.36,22.0,6
11.4,0.9902,0.35,6.0,5
9.2,0.9934,0.32,24.0,6
12.5,0.9906,0.31,3.0,4
12.6,0.9898,0.28,32.0,6
12.2,0.9896,0.36,24.0,6
11.2,0.9922,0.19,19.0,6
9.7,0.9947,0.1,31.0,6
9.3,0.9945,0.18,64.0,5
9.0,0.9976,0.25,53.0,6
9.0,0.9976,0.25,53.0,6
9.0,0.9976,0.25,53.0,6
9.1,0.9987,345.0,54.0,5
9.1,0.9987,345.0,54.0,5
9.0,0.9976,0.25,53.0,6
10.4,992.0,0.24,22.0,5
9.5,0.9955,0.25,41.0,6
11.4,0.9953,0.31,10.0,4
8.7,0.9976,0.46,76.0,5
9.9,992.0,0.35,14.0,6
9.9,0.9952,0.24,29.0,6
9.0,0.9983,0.28,49.0,6
10.0,0.9933,0.16,41.0,6
9.7,0.9958,0.26,38.0,6
11.8,0.9922,0.22,10.0,6
10.2,0.9928,0.18,30.0,7
8.7,0.9976,0.46,76.0,5
9.6,0.9976,0.3,40.0,7
11.3,0.9916,0.25,31.0,7
12.1,0.9901,0.28,32.0,7
9.6,0.9976,0.3,40.0,7
12.1,0.9901,0.28,32.0,7
11.3,0.9916,0.25,31.0,7
9.4,0.9982,0.35,22.0,5
10.4,993.0,0.41,16.0,6
9.5,0.9969,0.21,53.0,5
12.3,991.0,0.34,51.0,6
9.9,0.9953,0.21,31.0,7
10.1,0.9924,0.37,39.0,5
9.2,0.9969,0.34,39.0,6
10.4,0.9928,0.3,16.0,7
9.1,0.9945,0.51,38.0,5
10.0,0.9967,0.22,28.0,6
11.5,0.9944,0.35,6.0,6
9.8,0.9928,0.26,59.0,5
9.8,0.9929,0.26,61.0,6
9.4,0.9948,0.28,44.0,6
8.7,0.9976,0.41,77.0,5
11.6,0.9912,0.28,26.0,7
8.8,0.9987,0.34,44.0,5
12.7,0.99,0.2,49.0,7
11.7,991.0,0.2,39.0,7
10.2,0.9933,0.22,47.0,6
10.2,0.9933,0.23,47.0,6
12.7,0.9899,0.22,48.0,7
11.6,0.9912,0.28,26.0,7
12.3,0.9912,0.38,42.0,7
8.7,0.9976,0.41,77.0,5
9.4,994.0,0.18,25.0,5
10.1,0.9947,0.3,44.0,6
9.7,0.9954,0.24,26.0,6
10.1,993.0,0.25,32.0,7
9.7,0.9954,0.24,26.0,6
8.9,0.9963,0.26,38.0,6
10.8,992.0,0.32,37.0,7
10.8,0.9926,0.28,42.0,7
9.5,995.0,0.23,25.0,6
9.1,0.9983,0.31,6.0,5
10.9,992.0,0.2,48.0,6
9.4,0.9968,0.41,28.0,5
10.8,0.9905,0.45,10.0,5
10.8,0.9904,475.0,9.0,5
10.5,0.9926,0.27,7.0,7
9.4,0.9968,0.41,28.0,5
10.8,0.9928,0.29,26.0,6
10.5,0.9949,0.27,31.0,8
11.5,0.9909,0.19,14.0,7
9.4,0.9937,0.3,36.0,6
10.8,0.9914,0.24,31.0,6
10.8,0.9905,0.45,10.0,5
10.8,0.9904,475.0,9.0,5
9.8,0.9924,0.26,34.0,6
9.8,0.9924,0.26,34.0,6
9.6,0.9965,0.25,38.0,5
9.6,0.9965,0.25,38.0,5
9.5,0.9993,0.28,48.0,5
10.7,0.9965,0.37,12.0,6
12.4,0.9908,0.36,29.0,8
11.1,992.0,0.24,9.0,6
8.8,0.9978,0.23,37.0,5
8.7,0.9978,0.21,38.0,5
8.7,0.9978,0.21,38.0,5
8.8,0.9978,0.23,37.0,5
11.7,0.9912,0.32,18.0,7
10.9,0.9928,0.26,52.0,6
10.8,0.9928,0.24,52.0,6
9.6,993.0,0.19,33.0,6
9.0,0.9993,0.46,59.0,5
9.0,0.9965,0.26,50.0,5
10.4,0.9937,0.32,22.0,6
11.4,0.9913,0.24,3.0,5
9.3,0.9934,0.36,27.0,5
11.0,0.9952,0.24,49.0,8
9.1,0.9983,0.56,22.0,4
9.4,0.9957,0.32,31.0,6
9.4,0.9957,0.32,31.0,6
10.5,0.9916,0.31,23.0,6
8.8,0.9999,0.23,35.0,5
8.8,0.9999,0.23,35.0,5
10.7,0.9936,0.24,16.0,6
9.5,0.9972,0.29,45.0,5
10.9,0.9933,0.17,46.0,6
10.8,0.9934,0.14,34.0,6
10.8,0.9931,0.17,39.0,7
9.2,0.9976,0.28,25.0,5
10.3,0.9937,0.35,48.0,5
10.3,0.9937,335.0,49.0,5
11.0,991.0,235.0,33.0,7
9.0,0.9979,0.28,34.0,4
10.4,0.9971,0.21,68.0,6
9.5,0.9969,0.24,34.0,5
9.5,0.9968,0.24,32.0,5
9.0,0.9961,0.26,44.0,5
9.5,993.0,0.33,7.0,4
9.0,0.9973,105.0,57.0,6
10.0,0.9944,0.32,34.0,5
9.1,0.9986,0.26,35.0,7
9.1,0.9986,0.26,35.0,7
9.1,0.9986,0.26,35.0,7
9.1,0.9986,0.26,35.0,7
9.5,0.9972,0.24,34.0,6
11.4,0.9917,0.21,70.0,7
12.2,992.0,0.27,30.0,6
11.3,0.9932,0.27,27.0,6
10.2,0.9936,0.34,14.0,5
11.3,0.9915,0.27,41.0,5
10.0,0.9922,0.29,122.5,4
9.4,0.9934,0.28,12.0,5
12.2,0.9952,0.25,47.0,7
9.2,0.9972,0.57,23.0,4
9.4,0.9934,0.28,12.0,5
9.6,0.9958,0.17,49.0,6
9.5,0.9944,0.28,24.0,5
12.5,0.9908,0.22,38.0,6
9.6,0.9958,0.17,49.0,6
10.0,0.9925,0.14,37.0,6
9.3,0.9966,0.24,60.0,5
9.3,0.9972,0.42,34.0,6
11.6,0.9912,0.28,22.0,6
12.5,995.0,0.32,46.0,8
10.6,0.9928,0.31,18.0,6
9.4,0.9968,0.32,57.0,5
9.1,0.9955,0.28,44.0,6
9.0,0.9981,0.29,48.0,6
11.8,991.0,0.32,23.0,7
11.8,991.0,0.32,23.0,7
11.8,991.0,0.32,23.0,7
10.0,992.0,0.28,64.0,5
9.7,0.9931,0.34,12.0,5
9.5,997.0,0.25,30.0,6
9.4,0.9948,0.27,61.0,5
11.2,0.9923,0.46,50.0,5
9.0,0.9976,0.36,54.0,5
10.7,0.9938,0.22,21.0,7
9.0,0.9984,0.67,22.0,4
9.1,0.9972,0.28,61.0,6
10.8,0.9922,0.17,34.0,7
10.1,0.9935,0.2,25.0,4
9.9,0.9944,0.36,36.0,6
9.8,0.9942,0.36,36.0,5
9.8,0.9944,0.37,34.0,5
9.5,0.9997,0.29,51.0,6
9.5,0.9977,0.34,49.0,5
11.1,0.9912,0.19,22.0,6
9.5,0.9982,0.31,62.0,5
9.5,0.9982,0.31,62.0,5
9.4,0.9983,0.31,62.0,5
9.7,998.0,0.4,29.0,5
13.9,0.9894,0.34,19.0,7
10.1,0.9927,0.38,20.0,4
10.5,0.9917,0.33,30.0,6
12.6,0.9904,0.25,18.0,6
10.9,993.0,0.27,13.0,5
10.0,0.9941,0.31,50.0,5
11.2,0.9943,0.18,57.0,6
10.0,0.99855,0.2,44.0,6
9.2,0.99345,0.47,13.0,5
9.5,998.0,0.25,51.0,5
12.3,0.9916,0.27,31.0,6
12.3,0.9916,0.27,31.0,6
10.0,0.99475,0.31,57.0,5
10.8,0.99325,0.39,39.0,6
10.5,0.9933,0.21,41.0,7
9.2,0.9969,0.42,22.0,6
9.1,1.0002,0.27,34.0,5
10.5,0.9933,0.21,41.0,7
10.2,0.9937,0.29,35.0,7
8.9,0.99685,0.29,62.0,5
10.4,0.99455,0.3,15.0,5
11.7,0.9917,0.31,23.0,6
12.4,0.99035,0.33,29.0,8
10.9,0.9914,0.3,23.0,7
10.2,0.99225,0.39,35.0,5
11.7,0.99155,0.24,41.0,7
9.4,0.9954,0.21,19.0,5
10.5,0.99455,0.16,42.0,5
9.4,0.9924,0.33,12.0,5
10.4,0.99695,0.23,25.0,6
9.5,0.99655,0.25,78.0,6
11.1,0.9934,0.28,14.0,7
9.1,998.0,0.25,40.0,6
9.2,0.9971,0.38,28.0,5
9.6,0.9948,0.25,15.0,6
9.1,998.0,0.25,40.0,6
9.2,0.9971,0.38,28.0,5
10.8,0.99215,0.21,40.0,7
