_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_PeriodAmp,_Zero-crossingrate_Mean,_Fluctuation_Mean,acustic
206,785,888.133,10.157,relax
252,667,530.973,6.343,relax
239,706,767.329,7.828,relax
205,788,598.957,8.738,relax
182,771,1244.454,6.363,relax
214,757,594.395,6.706,relax
217,677,690.736,7.078,relax
172,833,1293.989,7.854,happy
172,833,1293.989,7.854,happy
186,842,1149.428,8.757,happy
147,838,2129.236,8.827,happy
201,812,2149.15,7.576,happy
170,824,1197.582,6.649,happy
177,803,1584.477,7.628,happy
143,821,1958.833,5.374,happy
162,818,1570.523,8.529,happy
170,833,1429.326,6.709,happy
153,818,1425.525,7.346,happy
163,843,1271.927,7.911,happy
161,829,2049.163,6.849,happy
162,823,1552.391,9.247,happy
163,851,1254.877,6.77,happy
154,851,1054.986,7.888,happy
167,799,1045.911,6.334,happy
184,829,1198.897,7.055,happy
186,827,1487.037,10.962,happy
143,831,1672.309,6.039,happy
176,827,1870.668,5.592,happy
217,795,1908.482,6.668,happy
174,851,2661.708,7.241,happy
150,841,2364.027,7.382,happy
153,761,1617.045,5.832,happy
176,798,1049.324,6.75,happy
189,803,1004.217,7.864,happy
191,802,1189.739,8.767,happy
132,847,2509.138,7.027,happy
165,824,2139.093,6.451,happy
153,818,1022.217,17.32,happy
168,856,1159.768,7.73,happy
154,804,2449.595,6.952,happy
220,834,2374.201,7.982,happy
172,805,2115.316,7.245,happy
166,816,1944.963,6.699,happy
175,828,1413.374,16.172,happy
197,819,1783.291,7.667,happy
144,865,2245.658,9.218,happy
158,799,1646.167,5.093,happy
154,853,1323.744,7.332,happy
166,812,2114.867,9.083,happy
208,757,1961.964,8.885,happy
152,826,1306.927,8.209,happy
163,823,1744.872,6.177,happy
217,806,1445.544,7.375,happy
157,832,1751.699,5.776,happy
170,803,1471.968,6.09,happy
136,827,1748.352,8.662,happy
185,831,2787.736,5.682,happy
196,824,1220.626,7.507,happy
187,812,1319.764,7.217,happy
148,871,1454.934,7.736,happy
191,818,2225.4,7.091,happy
124,844,1516.925,7.515,happy
159,821,1265.234,6.436,happy
167,810,1116.144,6.693,happy
166,833,1805.914,5.753,happy
130,843,1714.085,6.601,happy
124,861,1568.742,5.541,happy
166,835,1945.363,7.431,happy
160,805,1091.001,7.062,happy
140,867,1699.449,6.478,happy
170,831,1038.019,5.862,happy
194,794,2040.122,7.185,happy
207,816,1589.222,7.986,happy
207,789,1413.408,7.152,happy
215,851,1037.652,6.187,happy
153,818,1425.525,7.346,happy
160,859,1292.191,8.07,happy
184,801,1271.494,5.705,happy
167,808,1704.911,5.742,happy
147,843,1174.055,8.899,happy
189,804,1574.753,9.462,happy
128,870,1365.237,7.103,happy
164,766,1437.961,7.17,happy
227,813,1517.991,8.023,happy
181,859,1239.009,16.531,happy
213,813,2155.528,7.55,happy
167,825,1514.61,7.538,happy
158,841,2016.944,8.058,happy
183,796,2259.311,7.041,happy
194,837,1310.473,7.189,happy
144,862,1814.089,4.918,happy
163,828,2084.779,9.634,happy
166,833,1492.515,6.996,happy
186,797,2228.641,6.38,happy
181,818,1310.84,7.482,happy
177,831,1212.784,16.487,happy
177,831,1212.784,16.487,happy
210,794,1258.257,6.358,happy
183,787,1517.491,6.927,happy
183,787,1517.491,6.927,happy
164,844,1196.916,17.793,happy
196,769,799.282,7.323,happy
184,823,3147.907,6.078,happy
205,818,1520.105,6.881,happy
171,807,1157.171,7.565,happy
162,846,1246.268,7.622,happy
267,789,1810.359,8.114,happy
220,786,677.665,10.08,sad
201,760,1037.819,7.058,sad
238,572,290.631,6.134,sad
246,644,471.83,6.458,sad
233,721,331.648,9.697,sad
212,757,510.726,7.768,sad
253,748,1223.957,7.452,sad
311,633,1490.201,8.985,sad
228,773,904.53,6.575,sad
218,678,1792.81,6.039,sad
272,690,658.201,6.193,sad
224,793,1646.5,6.337,sad
206,742,954.732,7.103,sad
216,719,725.869,5.976,sad
189,791,978.143,6.65,sad
247,653,1800.585,5.35,sad
212,703,1608.753,6.037,sad
232,746,1174.238,7.517,sad
294,662,1538.837,8.072,sad
231,737,745.467,6.934,sad
277,708,985.003,7.169,sad
178,822,905.979,6.652,sad
212,760,1009.896,7.467,sad
206,793,625.412,6.481,sad
193,756,792.904,5.705,sad
269,758,942.694,7.843,sad
199,765,782.233,7.535,sad
175,837,1600.861,7.798,sad
221,679,596.46,6.488,sad
267,692,885.132,7.232,sad
226,644,691.652,7.782,sad
196,783,705.455,5.986,sad
251,700,522.714,9.032,sad
223,744,287.424,6.867,sad
216,695,639.968,5.965,sad
177,816,1423.715,6.139,sad
205,774,662.846,6.609,sad
185,742,771.974,8.337,sad
177,634,441.542,7.004,sad
195,779,1879.093,5.449,sad
208,788,778.218,5.691,sad
270,696,800.014,8.1,sad
202,747,993.894,5.273,sad
203,782,857.625,6.081,sad
185,639,840.375,7.335,sad
219,735,1297.136,5.636,sad
234,760,1396.308,5.642,sad
246,751,1401.969,5.612,sad
195,799,660.731,6.493,sad
194,793,692.634,6.4,sad
247,692,632.292,7.254,sad
182,795,1025.897,5.453,sad
205,779,1369.5,7.032,sad
247,626,595.045,7.835,sad
240,717,843.189,10.012,sad
149,857,1222.808,7.06,sad
183,775,663.179,7.858,sad
218,596,866.088,9.466,sad
263,719,713.064,8.01,sad
200,772,1100.559,6.073,sad
161,823,716.145,7.986,sad
191,742,481.237,7.496,sad
173,737,879.454,5.918,sad
197,733,894.24,6.718,sad
257,692,1356.429,7.544,sad
192,812,1507.867,6.554,sad
222,741,1094.231,7.822,sad
215,685,558.563,6.168,sad
219,721,595.627,7.863,sad
219,721,595.627,7.863,sad
183,779,872.461,6.965,sad
177,725,948.788,5.754,sad
219,707,1125.018,6.383,sad
231,749,601.605,8.417,sad
238,769,751.761,9.276,sad
235,669,579.226,7.33,sad
299,703,642.099,6.453,sad
214,677,1084.424,15.547,sad
197,726,1360.309,4.931,sad
193,687,1159.136,6.495,sad
189,751,889.745,10.261,sad
173,736,878.655,5.484,sad
213,786,1002.486,6.502,sad
196,742,834.198,5.797,sad
230,743,678.464,6.657,sad
238,733,1378.808,8.618,sad
234,728,741.72,5.555,sad
166,814,910.758,7.516,sad
274,562,1641.289,23.475,sad
245,674,599.49,5.608,sad
253,666,329.1,10.23,sad
184,722,1157.304,5.942,sad
197,800,1183.162,6.569,sad
189,772,614.709,7.256,sad
235,741,1265.716,8.254,sad
224,781,1087.954,7.463,sad
215,693,564.84,7.312,sad
177,725,948.788,5.754,sad
200,799,1106.153,6.723,sad
232,712,1003.036,7.704,sad
133,815,846.186,4.88,angry
104,822,319.127,6.116,angry
183,696,759.12,5.774,angry
160,726,1112.231,7.311,angry
138,871,725.036,4.744,angry
158,820,1017.871,5.327,angry
168,747,521.815,9.074,angry
126,872,442.758,5.864,angry
117,802,363.217,4.776,angry
119,864,806.608,4.178,angry
105,826,443.673,6.218,angry
162,821,323.772,6.246,angry
137,821,823.815,5.495,angry
209,791,402.929,4.779,angry
158,804,1258.007,4.688,angry
146,811,801.979,5.617,angry
88,793,818.463,4.515,angry
136,845,659.566,6.352,angry
121,785,487.681,6.009,angry
119,849,698.595,5.105,angry
148,794,420.443,17.599,angry
127,850,940.479,6.674,angry
148,820,1379.457,4.914,angry
125,849,1529.18,4.966,angry
113,866,891.3,3.58,angry
102,857,1051.789,5.17,angry
159,790,582.656,5.817,angry
114,864,927.675,4.531,angry
146,799,1333.701,6.237,angry
174,705,682.794,6.75,angry
217,722,1266.48,4.399,angry
134,856,561.194,5.997,angry
174,797,149.49,7.838,angry
143,782,380.734,5.167,angry
230,759,632.908,8.996,angry
117,863,951.868,6.795,angry
178,830,906.462,6.862,angry
132,804,814.367,4.979,angry
168,844,1527.381,5.729,angry
151,784,917.009,7.433,angry
182,834,382.749,4.444,angry
182,834,382.749,4.444,angry
185,734,662.33,5.074,angry
146,846,492.676,4.86,angry
137,829,737.091,5.069,angry
168,835,887.896,5.542,angry
207,740,1321.446,5.905,angry
185,814,319.726,5.435,angry
154,858,999.023,5.051,angry
142,862,483.635,5.852,angry
91,692,366.881,6.126,angry
158,774,988.866,4.594,angry
134,873,1217.646,4.954,angry
165,754,1430.275,7.468,angry
131,881,498.055,4.173,angry
110,841,1456.067,4.653,angry
214,686,1179.866,6.245,angry
95,886,621.835,4.793,angry
122,834,278.382,4.868,angry
131,821,1790.728,5.115,angry
131,821,1790.728,5.115,angry
146,864,422.078,4.815,angry
133,860,565.123,5.795,angry
136,865,553.152,5.671,angry
127,852,1023.166,4.83,angry
118,863,334.395,4.468,angry
119,861,337.609,4.362,angry
173,746,325.737,6.279,angry
167,761,892.742,5.066,angry
60,739,550.138,5.452,angry
146,719,1200.662,5.321,angry
203,718,619.754,5.112,angry
134,850,763.782,4.388,angry
178,781,493.825,5.931,angry
131,751,734.461,4.84,angry
112,848,279.531,5.782,angry
152,908,388.493,5.133,angry
101,875,1462.66,4.841,angry
143,793,1179.299,4.955,angry
142,750,416.949,5.955,angry
110,870,2264.173,4.527,angry
136,865,808.772,6.586,angry
136,865,808.772,6.586,angry
116,898,452.598,5.554,angry
197,816,1025.664,6.516,angry
179,831,336.909,7.31,angry
128,822,795.219,6.177,angry
189,728,496.889,4.305,angry
132,812,375.006,3.987,angry
209,764,1749.418,7.679,angry
187,794,875.741,5.831,angry
151,808,910.624,5.581,angry
183,824,1073.851,6.844,angry
141,831,568.553,5.102,angry
154,868,1205.891,4.437,angry
140,867,493.908,5.265,angry
127,879,975.308,5.042,angry
157,819,916.985,4.724,angry
144,811,670.306,4.47,angry
110,848,396.386,5.343,angry
